fid,row_index,col_index,distance,x,y
0,38,23,189.70531549750416,-87.95817344030954,43.03205487649805
1,38,24,169.886593942777,-87.9578052399407,43.03205795875315
2,39,23,212.0340193823727,-87.95817764266849,43.032324989844085
3,39,24,194.50391628169032,-87.95780944068538,43.032328072128124
4,39,25,180.2917677609968,-87.95744123864422,43.03233115322779
5,39,26,170.23063647844242,-87.95707303654503,43.03233423314306
6,40,23,236.0693627366355,-87.9581818450855,43.03259510317699
7,40,24,220.45882177030612,-87.95781364148814,43.03259818548996
8,40,25,208.02749859050365,-87.95744543783269,43.03260126661854
9,40,26,199.37098144738218,-87.95707723411923,43.032604346562735
10,40,27,194.9926570842164,-87.95670903034774,43.03260742532253
11,40,28,194.23940354300885,-87.95634082651824,43.03261050289794
12,40,29,193.7883267217718,-87.95597262263081,43.032613579288935
13,41,23,261.3408936051111,-87.95818604756062,43.03286521649677
14,41,24,247.33056977209347,-87.95781784234893,43.03286829883868
15,41,25,236.31707263179018,-87.9574496370792,43.03287137999619
16,41,26,228.73370300576434,-87.95708143175143,43.0328744599693
17,41,27,224.92766607111633,-87.95671322636564,43.032877538757994
18,41,28,224.23601217967547,-87.95634502092186,43.03288061636228
19,41,29,223.78493535843842,-87.9559768154201,43.03288369278217
20,42,22,302.6483656725811,-87.95855845686171,43.03313224624816
21,42,23,287.5228361674161,-87.9581902500938,43.03313532980342
22,42,24,274.85037637089965,-87.95782204326781,43.03313841217426
23,42,25,264.98316449294583,-87.95745383638375,43.033141493360695
24,42,26,258.2429583515609,-87.95708562944165,43.03314457336271
25,42,27,254.87795826951458,-87.95671742244154,43.03314765218032
26,42,28,254.2326208163421,-87.95634921538344,43.0331507298135
27,42,29,253.78154399510504,-87.95598100826737,43.03315380626228
28,43,22,328.2778577542524,-87.95856266106732,43.03340235951273
29,43,23,314.3878177747853,-87.95819445268508,43.033405443096946
30,43,24,302.84162203809103,-87.95782624424473,43.033408525496725
31,43,25,293.91562753983055,-87.95745803574633,43.03341160671208
32,43,26,287.85368537783705,-87.9570898271899,43.033414686743015
33,43,27,284.83871271137497,-87.95672161857544,43.03341776558952
34,43,28,284.2292294530087,-87.95635340990299,43.0334208432516
35,43,29,283.77815263177166,-87.95598520117257,43.033423919729245
36,43,30,283.9890258004527,-87.9556169923842,43.033426995022474
37,44,23,341.7748068723445,-87.95819865533443,43.03367555637733
38,44,24,331.1847923533005,-87.95783044527973,43.03367863880606
39,44,25,323.04289925576325,-87.95746223516696,43.033681720050346
40,44,26,317.53749831010447,-87.95709402499615,43.03368480011019
41,44,27,314.80694227813655,-87.95672581476732,43.033687878985596
42,44,28,314.22583808967534,-87.95635760448052,43.033690956676566
43,44,29,313.7747612684383,-87.95598939413573,43.0336940331831
44,44,30,313.9505569014752,-87.95562118373299,43.033697108505194
45,45,27,344.780697768809,-87.95673001101721,43.03395799236855
46,45,28,344.22244672634196,-87.95636179911601,43.03396107008842
47,45,29,343.7713699051049,-87.95599358715683,43.03396414662382
48,45,30,343.9187950409262,-87.9556253751397,43.033967221974784
