fid,row_index,col_index,distance,x,y
0,0,15,334.3291059885777,-46.54874970569309,-23.518101980756445
1,0,16,341.3042821948703,-46.5484559443121,-23.518104903068267
2,0,55,340.4848314932571,-46.53699921357671,-23.51821844120552
3,0,56,331.1784027966187,-46.53670545030706,-23.518221341362178
4,0,57,324.3891929162363,-46.53641168699037,-23.51822424096495
5,0,58,320.27732121206293,-46.53611792362666,-23.518227140013835
6,0,59,318.94635361562405,-46.53582416021594,-23.518230038508833
7,0,60,320.42407067961744,-46.53553039675821,-23.518232936449945
8,0,61,323.1139228094952,-46.53523663325348,-23.518235833837164
9,0,62,325.80377493937294,-46.53494286970177,-23.518238730670497
10,0,63,328.49362706925075,-46.53464910610308,-23.51824162694994
11,0,64,331.1834791991285,-46.534355342457424,-23.518244522675495
12,0,65,333.8733313290063,-46.5340615787648,-23.518247417847164
13,0,66,336.5631834588841,-46.53376781502523,-23.518250312464943
14,0,67,339.25303558876186,-46.533474051238706,-23.518253206528833
15,0,68,341.9428877186396,-46.53318028740526,-23.51825610003883
16,0,69,344.63273984851736,-46.53288652352488,-23.518258992994934
17,1,15,305.1512562238817,-46.548746536326746,-23.517831094673195
18,1,16,312.12643243017436,-46.54845277554632,-23.517834016947397
19,1,17,319.10160863646706,-46.54815901471851,-23.51783693866772
20,1,18,326.0767848427597,-46.54786525384332,-23.51783985983419
21,1,19,333.3218764377483,-46.547571492920746,-23.517842780446788
22,1,20,340.8837695702063,-46.547277731950814,-23.51784570050553
23,1,53,339.9923154102938,-46.53758359343045,-23.517941751722564
24,1,54,325.183007766366,-46.53728983085547,-23.517944652949637
25,1,55,312.55911847506263,-46.53699606823344,-23.51794755362284
26,1,56,302.3944717481389,-46.53670230556438,-23.517950453742156
27,1,57,294.94343618016615,-46.53640854284828,-23.517953353307597
28,1,58,290.4149523486893,-46.53611478008516,-23.517956252319156
29,1,59,288.94646312010684,-46.53582101727502,-23.51795915077683
30,1,60,290.54490242614366,-46.53552725441788,-23.517962048680634
31,1,61,293.2347545560214,-46.53523349151374,-23.517964946030553
32,1,62,295.9246066858992,-46.53493972856262,-23.517967842826586
33,1,63,298.61445881577697,-46.534645965564515,-23.51797073906874
34,1,64,301.3043109456548,-46.53435220251944,-23.517973634757016
35,1,65,303.9941630755325,-46.53405843942741,-23.51797652989141
36,1,66,306.68401520541033,-46.53376467628843,-23.517979424471914
37,1,67,309.3738673352881,-46.5334709131025,-23.517982318498543
38,1,68,312.06371946516583,-46.53317714986964,-23.517985211971286
39,1,69,314.75357159504364,-46.53288338658986,-23.51798810489014
40,1,70,317.44342372492144,-46.532589623263156,-23.51799099725512
41,1,71,320.13327585479925,-46.53229585988955,-23.51799388906621
42,1,72,322.823127984677,-46.53200209646905,-23.51799678032342
43,1,73,325.51298011455475,-46.53170833300165,-23.517999671026747
44,1,74,328.4449224685488,-46.53141456948739,-23.51800256117618
45,1,75,333.47581658070544,-46.53112080592625,-23.51800545077173
46,1,76,339.11798470436776,-46.53082704231824,-23.51800833981339
47,1,77,344.7601528280301,-46.530533278663384,-23.518011228301173
