fid,row_index,col_index,distance,x,y
0,51,38,337.4621360237627,-73.9984129007696,40.750288395946455
1,52,36,270.38859305301713,-73.99911948768681,40.75056477885237
2,52,37,297.73691601513474,-73.99876416671188,40.75056169670739
3,52,38,325.55268554139843,-73.99840884579194,40.75055861346872
4,53,35,230.8171769207677,-73.99947075799794,40.750838077500525
5,53,36,258.87033253481604,-73.99911543553006,40.750834996420046
6,53,37,287.3167644254725,-73.99876011311714,40.750831914245865
7,53,38,315.90721861455546,-73.99840479075927,40.75082883097797
8,53,39,344.49767280363847,-73.99804946845639,40.750825746616385
9,54,35,221.04817596590252,-73.99946670722419,40.75110829508436
10,54,36,249.6386301549855,-73.99911138331831,40.75110521397469
11,54,37,278.22908434406844,-73.99875605946744,40.751102131771304
12,54,38,306.81953853315144,-73.99840073567155,40.7510990484742
13,54,39,335.439275994921,-73.9980454119307,40.75109596408339
14,55,36,240.61989335621772,-73.99910733105159,40.7513754315163
15,55,37,269.55062329153833,-73.9987520057627,40.75137234928371
16,55,38,298.6923901858835,-73.99839668052883,40.7513692659574
17,55,39,327.9889470592802,-73.99804135534997,40.75136618153737
18,56,37,263.65655696362904,-73.99874795200296,40.7516425667831
19,56,38,293.38436472998114,-73.99839262533106,40.751639483427574
20,56,39,323.16248375409214,-73.9980372987142,40.75163639897832
21,57,37,261.09772412446245,-73.99874389818821,40.75191278426945
22,57,38,291.086974942324,-73.99838857007828,40.75190970088471
23,57,39,321.07823410996326,-73.99803324202337,40.75190661640624
24,58,38,291.8713218083128,-73.99838451477046,40.752179918328835
25,58,39,321.7894869821432,-73.99802918527749,40.75217683382113
26,59,38,295.7128844118738,-73.99838045940761,40.75245013575992
27,59,39,325.2779049448171,-73.99802512847657,40.752447051222994
28,60,39,331.3049226255121,-73.99802107162058,40.752717268611846
29,61,39,337.9029493484572,-73.99801701470956,40.75298748598767
