fid,row_index,col_index,distance,x,y
0,0,89,345.4741593054517,2.4035292505070975,48.83770293053524
1,0,90,342.918166429488,2.403938059773613,48.83770504490893
2,0,91,340.3621735535244,2.4043468690877114,48.837707157833094
3,0,92,337.80618067756086,2.4047556784493618,48.83770926930773
4,0,93,335.25018780159724,2.4051644878585314,48.837711379332845
5,0,94,332.69419492563367,2.405573297315187,48.83771348790844
6,0,95,330.466241602243,2.4059821068192964,48.83771559503449
7,0,96,328.4414573819808,2.4063909163708264,48.83771770071101
8,0,97,326.4166731617187,2.406799725969745,48.837719804938004
9,0,98,324.39188894145656,2.4072085356160193,48.837721907715455
10,0,99,322.36710472119444,2.4076173453096166,48.837724009043406
11,0,100,320.3423205009323,2.4080261550505044,48.83772610892181
12,0,101,318.31753628067014,2.40843496483865,48.83772820735067
13,0,102,316.292752060408,2.408843774674021,48.837730304330016
14,0,103,314.87938895555436,2.409252584556585,48.83773239985982
15,0,104,316.1494631167255,2.409661394486308,48.8377344939401
16,0,105,319.64782307448803,2.410070204463159,48.837736586570834
17,0,106,323.3157489510236,2.4104790144871044,48.837738677752036
18,0,107,326.9836748275591,2.4108878245581122,48.83774076748372
19,0,108,330.6516007040946,2.4112966346761495,48.837742855765846
20,0,109,334.31952658063017,2.4117054448411834,48.83774494259846
21,0,110,337.9874524571657,2.4121142550531816,48.837747027981536
22,0,111,341.70796345663564,2.412523065312111,48.837749111915066
23,0,112,347.17090986409823,2.4129318756179403,48.837751194399054
24,1,73,344.81670474701616,2.3969850694533776,48.837938764580755
25,1,74,343.25021721603025,2.397393880149843,48.83794090216702
26,1,75,341.68372968504434,2.3978026908944154,48.83794303830375
27,1,76,340.11724215405843,2.3982115016870624,48.83794517299093
28,1,77,338.55075462307246,2.3986203125277505,48.83794730622859
29,1,78,336.98426709208655,2.399029123416449,48.83794943801671
30,1,79,335.41777956110064,2.399437934353123,48.837951568355294
31,1,80,333.85129203011473,2.399846745337741,48.837953697244345
