fid,row_index,col_index,distance,x,y
0,0,8,341.0735075958635,-102.2571838700762,21.841051978688792
1,0,9,332.47689611752736,-102.25689388780707,21.841047153080545
2,0,10,325.3727116594214,-102.2566039056183,21.841042326963546
3,0,11,319.10777203507536,-102.25631392350998,21.84103750033779
4,0,12,315.5211115365451,-102.25602394148206,21.841032673203266
5,0,13,314.76558496335696,-102.25573395953458,21.841027845559985
6,0,14,316.8614446874085,-102.25544397766753,21.841023017407945
7,0,15,321.7529747826102,-102.25515399588095,21.841018188747146
8,0,16,329.31562130200615,-102.25486401417479,21.841013359577584
9,0,17,339.37085921686565,-102.25457403254912,21.84100852989927
10,1,6,338.92730267661545,-102.25775866741176,21.841332358713075
11,1,7,324.7791024186218,-102.25746868443706,21.84132753405656
12,1,8,312.87571691655006,-102.25717870154274,21.84132270889127
13,1,9,303.4814048739143,-102.25688871872882,21.841317883217215
14,1,10,296.2226835645355,-102.25659873599531,21.841313057034395
15,1,11,289.56621132811586,-102.25630875334221,21.8413082303428
16,1,12,285.6088100794273,-102.25601877076951,21.841303403142437
17,1,13,284.7739349853735,-102.25572878827728,21.841298575433306
18,1,14,287.0888289347411,-102.25543880586547,21.841293747215417
19,1,15,292.47871264621705,-102.2551488235341,21.841288918488754
20,1,16,300.77832203012196,-102.2548588412832,21.841284089253328
21,1,17,311.75535385189954,-102.25456885911275,21.841279259509143
22,1,18,325.1387431657298,-102.25427887702278,21.84127442925619
23,1,19,340.6449822901517,-102.2539888950133,21.841269598494478
24,2,4,349.0428372146887,-102.25833346716756,21.841612736955444
25,2,5,330.7898909050979,-102.25804348348733,21.84160791325068
26,2,6,313.4195162269665,-102.25775349988746,21.841603089037132
27,2,7,298.0629833108185,-102.25746351636798,21.841598264314804
28,2,8,285.0461206337402,-102.25717353292887,21.84159343908371
29,2,9,274.70172871051307,-102.25688354957019,21.841588613343834
30,2,10,267.0726554696496,-102.25659356629188,21.841583787095185
31,2,11,260.12960483698976,-102.25630358309401,21.841578960337753
32,2,12,255.71705646029127,-102.25601359997657,21.84157413307156
33,2,13,254.7842511160828,-102.25572361693953,21.841569305296584
34,2,14,257.36902740782637,-102.25543363398295,21.841564477012835
35,2,15,263.36783767369513,-102.2551436511068,21.841559648220322
36,2,16,272.55535139304305,-102.25485366831113,21.841554818919032
37,2,17,284.62294571072886,-102.25456368559591,21.84154998910897
38,2,18,299.22236359791,-102.25427370296119,21.841545158790137
39,2,19,316.00288690008387,-102.25398372040692,21.841540327962534
40,2,20,334.6365583454003,-102.25369373793315,21.841535496626157
41,3,3,345.1720823694874,-102.25861828495783,21.841888290662816
42,3,4,325.3961611742724,-102.25832830065245,21.841883467401043
43,3,5,306.9817000662459,-102.25803831642742,21.841878643630483
44,3,6,288.7765049380668,-102.25774833228276,21.841873819351143
45,3,7,272.03238533756394,-102.2574583482185,21.84186899456301
46,3,8,257.70403089716,-102.25716836423462,21.841864169266103
47,3,9,246.2135585398252,-102.25687838033113,21.84185934346041
48,3,10,237.92262737476372,-102.25658839650805,21.841854517145933
49,3,11,230.83810751775343,-102.25629841276539,21.84184969032268
50,3,12,225.85400933887632,-102.25600842910316,21.84184486299064
