fid,row_index,col_index,distance,x,y
0,0,7,344.57570015481764,-99.10940517530797,19.431965144661305
1,0,8,333.5367302370989,-99.10911939439096,19.43196531666654
2,0,9,324.90165850196547,-99.10883361347094,19.431965488221884
3,0,10,318.86584165978064,-99.10854783254787,19.43196565932734
4,0,11,315.57845658009165,-99.1082620516218,19.431965829982914
5,0,12,315.1255298092259,-99.10797627069272,19.431966000188602
6,0,13,317.5191912587613,-99.10769048976064,19.431966169944403
7,0,14,322.69610177021093,-99.10740470882557,19.43196633925032
8,0,15,330.31161158259306,-99.10711892788753,19.431966508106346
9,0,16,339.0439067167209,-99.1068331469465,19.431966676512488
10,1,5,348.0031463162546,-99.10997691962821,19.432235916603723
11,1,6,331.69342339890454,-99.10969113824306,19.432236089511328
12,1,7,317.38756183278116,-99.10940535685486,19.43223626196904
13,1,8,305.36732255798097,-99.10911957546364,19.43223643397686
14,1,9,295.91137012001155,-99.10883379406938,19.432236605534783
15,1,10,289.27128486314535,-99.1085480126721,19.43223677664282
16,1,11,285.6435077617685,-99.10826223127181,19.43223694730096
17,1,12,285.143035697034,-99.10797644986852,19.432237117509207
18,1,13,287.7861846694391,-99.10769066846221,19.432237287267558
19,1,14,293.48803274863695,-99.10740488705292,19.432237456576022
20,1,15,301.41605206852284,-99.10711910564065,19.432237625434592
21,1,16,310.8675093360611,-99.1068333242254,19.432237793843267
22,1,17,322.8398678556253,-99.10654754280719,19.432237961802052
23,1,18,337.06461130363294,-99.10626176138604,19.43223812931094
24,2,4,343.2117478101743,-99.11026288398294,19.432506860538062
25,2,5,323.8960344230648,-99.10997710212662,19.43250703389817
26,2,6,306.3053678848277,-99.10969132026725,19.432507206808374
27,2,7,290.7530149029106,-99.10940553840483,19.43250737926868
28,2,8,277.5817950716593,-99.10911975653937,19.432507551279084
29,2,9,267.1441375648681,-99.10883397467086,19.432507722839595
30,2,10,259.7697586620692,-99.10854819279936,19.4325078939502
31,2,11,255.72380568774233,-99.10826241092484,19.432508064610907
32,2,12,255.1646567914426,-99.1079766290473,19.432508234821718
33,2,13,258.1149731332284,-99.10769084716678,19.432508404582627
34,2,14,264.4573247910515,-99.10740506528325,19.432508573893635
35,2,15,272.6526620512699,-99.10711928339674,19.432508742754745
36,2,16,283.06615134960157,-99.10683350150728,19.43250891116595
37,2,17,296.1645116419371,-99.10654771961484,19.432509079127254
38,2,18,311.60935459696753,-99.10626193771942,19.432509246638666
39,2,19,329.07045110214654,-99.10597615582108,19.432509413700178
40,2,20,348.24464634047393,-99.10569037391978,19.432509580311784
41,3,3,343.63122358688076,-99.11054884928613,19.43277780400919
42,3,4,321.55365820324505,-99.11026306695864,19.432777977821807
43,3,5,300.8506147309024,-99.10997728462807,19.432778151184518
44,3,6,281.82517571010993,-99.10969150229445,19.432778324097328
45,3,7,264.83913408729245,-99.10940571995779,19.432778496560232
46,3,8,250.30801869732292,-99.1091199376181,19.432778668573224
47,3,9,238.6806265792259,-99.10883415527536,19.43277884013631
48,3,10,230.39700255065034,-99.10854837292962,19.432779011249494
49,3,11,225.82541058170776,-99.10826259058085,19.43277918191277
50,3,12,225.1920365920371,-99.10797680822908,19.43277935212614
51,3,13,228.52962745460795,-99.10769102587432,19.4327795218896
52,3,14,235.55997542819244,-99.10740524351657,19.43277969120316
53,3,15,244.1870426593382,-99.10711946115582,19.432779860066802
54,3,16,255.76216240668793,-99.10683367879211,19.432780028480547
55,3,17,270.187445369278,-99.10654789642544,19.432780196444384
56,3,18,287.03349552170414,-99.1062621140558,19.432780363958308
57,3,19,305.9006365924067,-99.1059763316832,19.432780531022335
58,3,20,326.4386180951501,-99.10569054930767,19.43278069763645
59,3,21,348.16035510773077,-99.1054047669292,19.432780863800655
60,4,2,349.2427977964886,-99.11083481553781,19.433048747017086
61,4,3,324.78434243785756,-99.11054903273914,19.433048921282232
62,4,4,301.32906659143265,-99.11026324993739,19.433049095097466
63,4,5,279.1299762707985,-99.10997746713258,19.43304926846279
64,4,6,258.5108913237681,-99.10969168432473,19.43304944137819
65,4,7,239.87959107244106,-99.10940590151381,19.43304961384369
66,4,8,223.73322393679945,-99.10912011869988,19.433049785859275
67,4,9,210.64399534101742,-99.1088343358829,19.433049957424945
68,4,10,201.20941840107554,-99.1085485530629,19.433050128540696
69,4,11,195.9580754482233,-99.10826277023989,19.433050299206535
70,4,12,195.22782745665148,-99.10797698741388,19.43305046942247
71,4,13,199.0684352013563,-99.10769120458487,19.433050639188483
72,4,14,206.66408638816748,-99.10740542175286,19.43305080850459
73,4,15,216.1368767281117,-99.10711963891788,19.433050977370772
74,4,16,229.1334139710193,-99.1068338560799,19.43305114578705
75,4,17,245.13076778374042,-99.10654807323898,19.43305131375341
76,4,18,263.58312774242137,-99.1062622903951,19.43305148126986
77,4,19,284.01238907257056,-99.10597650754826,19.433051648336395
78,4,20,305.75341435679553,-99.10569072469849,19.433051814953018
79,4,21,327.59941413755604,-99.10540494184578,19.43305198111972
80,4,22,349.44541391831655,-99.10511915899014,19.43305214683652
81,5,2,333.4261283728282,-99.11083499946815,19.43331986427941
82,5,3,307.7130487349638,-99.11054921619521,19.433320038547187
83,5,4,282.84564278390206,-99.11026343291921,19.43332021236504
84,5,5,259.06754895569463,-99.10997764964016,19.433320385732966
85,5,6,236.70727112191494,-99.10969186635803,19.433320558650973
86,5,7,216.20515600247893,-99.10940608307288,19.433320731119064
87,5,8,198.13885727471217,-99.10912029978468,19.433320903137233
88,5,9,183.23030328578636,-99.10883451649345,19.433321074705486
89,5,10,172.30113558033725,-99.1085487331992,19.433321245823812
90,5,11,166.1385524264199,-99.10826294990193,19.433321416492223
91,5,12,165.2766041592662,-99.10797716660166,19.433321586710708
92,5,13,169.79603400106635,-99.10769138329839,19.433321756479284
93,5,14,177.8089290351328,-99.10740559999213,19.43332192579793
94,5,15,188.687538435511,-99.1071198166829,19.433322094666657
95,5,16,203.44522377555094,-99.10683403337067,19.433322263085472
96,5,17,221.30732250270339,-99.1065482500555,19.433322431054354
97,5,18,241.58622251599348,-99.10626246673736,19.43332259857332
98,5,19,263.34647360586024,-99.10597668341626,19.43332276564237
99,5,20,285.19247338662075,-99.10569090009224,19.4333229322615
100,5,21,307.03847316738126,-99.10540511676527,19.433323098430705
101,5,22,328.8844729481418,-99.10511933343538,19.433323264149994
102,5,23,350.7304727289023,-99.10483355010255,19.43332342941936
103,6,1,347.0720637450091,-99.11112096714567,19.43359080681334
104,6,2,319.64892358753286,-99.11083518340155,19.433590981533655
105,6,3,292.72815312289475,-99.11054939965436,19.43359115580405
106,6,4,266.46596201168626,-99.1102636159041,19.433591329624512
107,6,5,241.07767667473058,-99.10997783215076,19.43359150299505
108,6,6,216.8704301442648,-99.1096920483944,19.433591675915654
109,6,7,194.2861826045047,-99.10940626463497,19.433591848386342
110,6,8,173.95820771410428,-99.1091204808725,19.4335920204071
111,6,9,156.76669069408828,-99.10883469710701,19.43359219197793
112,6,10,143.84064999591894,-99.10854891333851,19.43359236309883
113,6,11,136.3982033287864,-99.10826312956698,19.433592533769815
114,6,12,135.3469879657226,-99.10797734579245,19.433592703990865
115,6,13,140.8083392737918,-99.1076915620149,19.433592873761977
116,6,14,149.34474521619558,-99.1074057782344,19.433593043083174
117,6,15,162.14445670426704,-99.1071199944509,19.43359321195445
118,6,16,179.10275474194555,-99.10683421066442,19.433593380375786
119,6,17,199.16015834595294,-99.10654842687498,19.433593548347204
120,6,18,220.93953285492495,-99.10626264308257,19.433593715868692
121,6,19,242.78553263568548,-99.10597685928721,19.433593882940254
122,6,20,264.631532416446,-99.10569107548892,19.433594049561886
123,6,21,286.47753219720653,-99.10540529168769,19.433594215733592
124,6,22,308.32353197796704,-99.10511950788353,19.43359438145537
125,6,23,330.1695317587276,-99.10483372407646,19.43359454672722
126,7,1,335.29190994753236,-99.11112115155642,19.433861924056856
127,7,2,307.70154973770923,-99.11083536733804,19.433862098779805
128,7,3,280.111189527886,-99.11054958311658,19.433862273052817
129,7,4,252.5996044727468,-99.11026379889203,19.433862446875896
130,7,5,225.65659188213542,-99.10997801466443,19.433862620249045
131,7,6,199.5876617928401,-99.1096922304338,19.433862793172253
132,7,7,174.78435862515167,-99.1094064462001,19.43386296564553
133,7,8,151.86806543865018,-99.10912066196337,19.433863137668876
134,7,9,131.82657766987143,-99.10883487772361,19.433863309242284
135,7,10,116.15758201780521,-99.10854909348082,19.433863480365765
136,7,11,106.8031888114566,-99.10826330923503,19.433863651039303
137,7,12,105.45737726858256,-99.10797752498623,19.433863821262914
138,7,13,111.91245023376682,-99.10769174073442,19.43386399103659
139,7,14,121.62109439879195,-99.10740595647964,19.433864160360336
140,7,15,137.03526013034536,-99.10712017222187,19.43386432923414
141,7,16,156.73427970684327,-99.10683438796111,19.433864497658018
142,7,17,178.53259210398966,-99.1065486036974,19.43386466563196
143,7,18,200.3785918847502,-99.10626281943073,19.43386483315597
144,7,19,222.2245916655107,-99.1059770351611,19.433865000230043
145,7,20,244.07059144627124,-99.10569125088854,19.433865166854183
146,7,21,265.9165912270318,-99.10540546661304,19.433865333028386
147,7,22,287.7625910077923,-99.10511968233462,19.43386549875266
148,7,23,309.6085907885528,-99.10483389805327,19.433865664027
149,7,24,331.4545905693133,-99.10454811376901,19.433865828851406
150,8,1,323.51175615005565,-99.11112133597025,19.434133041292284
151,8,2,295.92139594023246,-99.11083555127759,19.434133216017862
152,8,3,268.33103573040927,-99.11054976658184,19.434133390293493
153,8,4,240.74067552058608,-99.11026398188304,19.43413356411919
154,8,5,213.1503153107629,-99.10997819718116,19.43413373749494
155,8,6,185.57393677159467,-99.10969241247624,19.434133910420755
156,8,7,158.59389423612853,-99.10940662776828,19.434134082896623
157,8,8,132.91486210748906,-99.10912084305727,19.434134254922558
158,8,9,109.45637418225277,-99.10883505834322,19.43413442649855
159,8,10,89.97241315646612,-99.10854927362617,19.4341345976246
160,8,11,77.52014195852806,-99.10826348890608,19.43413476830071
161,8,12,75.65520265879172,-99.10797770418301,19.434134938526885
162,8,13,83.01656119374181,-99.10769191945693,19.43413510830311
163,8,14,95.28655876790468,-99.10740613472785,19.4341352776294
164,8,15,114.30879317909411,-99.10712034999581,19.43413544650575
165,8,16,136.12565135305437,-99.10683456526078,19.434135614932156
166,8,17,157.9716511338149,-99.10654878052279,19.434135782908626
167,8,18,179.81765091457544,-99.10626299578183,19.434135950435152
168,8,19,201.66365069533595,-99.10597721103794,19.43413611751174
169,8,20,223.50965047609648,-99.1056914262911,19.43413628413839
170,8,21,245.35565025685702,-99.10540564154132,19.434136450315094
171,8,22,267.2016500376176,-99.10511985678862,19.434136616041858
172,8,23,289.0476498183781,-99.10483407203299,19.43413678131868
173,8,24,311.4891239324865,-99.10454828727445,19.434136946145568
174,8,25,335.1129505998252,-99.10426250251301,19.43413711052251
175,9,0,339.5141101059247,-99.11140730555104,19.434403983341475
176,9,1,311.73160235257893,-99.11112152038717,19.434404158519623
177,9,2,284.14124214275574,-99.11083573522022,19.434404333247826
178,9,3,256.55088193293255,-99.1105499500502,19.434404507526082
179,9,4,228.96052172310937,-99.1102641648771,19.43440468135439
180,9,5,201.37016151328618,-99.10997837970095,19.434404854732747
181,9,6,173.77980130346296,-99.10969259452173,19.434405027661164
182,9,7,146.18944109363977,-99.10940680933948,19.43440520013963
183,9,8,118.59908088381658,-99.10912102415418,19.43440537216815
184,9,9,91.5595386516338,-99.10883523896585,19.434405543746724
185,9,10,67.06330142613416,-99.10854945377451,19.434405714875346
186,9,11,49.11032150419128,-99.10826366858015,19.43440588555402
187,9,12,46.11031292799407,-99.10797788338279,19.43440605578276
188,9,13,54.59298530642267,-99.10769209818241,19.434406225561535
189,9,14,71.88439302726873,-99.10740631297907,19.43440639489037
190,9,15,93.71871060211909,-99.10712052777272,19.434406563769265
191,9,16,115.56471038287961,-99.10683474256341,19.43440673219821
192,9,17,137.41071016364015,-99.10654895735114,19.434406900177198
193,9,18,159.25670994440068,-99.1062631721359,19.434407067706246
194,9,19,181.10270972516122,-99.10597738691771,19.434407234785347
195,9,20,202.94870950592173,-99.10569160169659,19.434407401414497
196,9,21,224.79470928668226,-99.10540581647251,19.434407567593706
197,9,22,246.6407090674428,-99.10512003124552,19.43440773332296
198,9,23,269.270970036757,-99.10483424601563,19.434407898602274
199,9,24,293.2269950670112,-99.1045484607828,19.434408063431633
200,9,25,318.2095001214168,-99.10426267554706,19.43440822781105
