fid,row_index,col_index,distance,x,y
0,0,7,338.0541555087965,126.96656835113215,37.55229578422944
1,0,8,328.33968223074794,126.96690777837358,37.55230163162442
2,0,9,321.14370894976514,126.96724720571308,37.552307478044405
3,0,10,316.6379899327218,126.96758663315066,37.55231332348942
4,0,11,314.9380122170987,126.96792606068631,37.55231916795947
5,0,12,316.0890482283123,126.96826548832,37.55232501145454
6,0,13,320.06034006184416,126.9686049160517,37.55233085397464
7,0,14,326.7490721503678,126.96894434388143,37.552336695519756
8,0,15,335.99299251881615,126.96928377180913,37.5523425360899
9,0,16,347.58829941810785,126.96962319983481,37.552348375685064
10,1,5,336.1580643319706,126.96588214929663,37.55255432326486
11,1,6,322.52799940890776,126.96622157756586,37.5525601726665
12,1,7,310.29845209095834,126.96656100593319,37.55256602109315
13,1,8,299.6856089982763,126.96690043439865,37.552571868544845
14,1,9,291.78382256610917,126.9672398629622,37.55257771502155
15,1,10,286.81724840377655,126.96757929162382,37.55258356052326
16,1,11,284.93941259947985,126.96791872038348,37.55258940505
17,1,12,286.21111739965585,126.9682581492412,37.552595248601754
18,1,13,290.5910160238656,126.96859757819695,37.55260109117852
19,1,14,297.94206393929255,126.96893700725069,37.55260693278031
20,1,15,308.05163257971617,126.96927643640244,37.5526127734071
21,1,16,320.6589203587691,126.96961586565214,37.55261861305891
22,1,17,335.4824556907177,126.96995529499982,37.552624451735724
23,2,3,345.9379237326406,126.96519594285941,37.552812858159754
24,2,4,327.2538972476041,126.96553537215637,37.552818709568115
25,2,5,310.35009175291145,126.9658748015515,37.552824560001476
26,2,6,295.5321397722009,126.96621423104476,37.552830409459865
27,2,7,282.8820389582345,126.96655366063614,37.552836257943255
28,2,8,271.32265212095166,126.96689309032564,37.55284210545165
29,2,9,262.5686889645639,126.96723252011321,37.552847951985065
30,2,10,257.0382292484775,126.96757194999888,37.55285379754349
31,2,11,254.94114255218952,126.9679113799826,37.55285964212692
32,2,12,256.3616996285498,126.96825081006438,37.55286548573535
33,2,13,261.24252316011217,126.96859024024415,37.55287132836879
34,2,14,269.39560274378033,126.96892967052194,37.55287717002724
35,2,15,280.53578318693616,126.96926910089775,37.55288301071069
36,2,16,294.32407397107465,126.96960853137152,37.55288885041914
37,2,17,310.4077888674084,126.96994796194325,37.552894689152595
38,2,18,328.44989002917407,126.97028739261292,37.55290052691105
39,2,19,348.1460399470307,126.97062682338051,37.55290636369451
40,3,2,345.2041658566397,126.96484916214519,37.55307724232913
41,3,3,323.70971921163186,126.96518859256801,37.55308309476924
42,3,4,303.6610750481014,126.96552802308904,37.553088946234354
43,3,5,285.3631277629677,126.96586745370823,37.55309479672447
44,3,6,269.17314292841127,126.96620688442555,37.55310064623959
45,3,7,255.49216634028932,126.96654631524098,37.55310649477972
46,3,8,243.35262247862903,126.96688574615453,37.55311234234484
47,3,9,233.55263590430553,126.9672251771662,37.55311818893496
48,3,10,227.31733019827604,126.9675646082759,37.55312403455008
49,3,11,224.94333392900316,126.96790403948368,37.5531298791902
50,3,12,226.55206542805558,126.9682434707895,37.553135722855316
51,3,13,232.06071020390536,126.96858290219338,37.55314156554543
52,3,14,241.2022141087513,126.96892233369522,37.55314740726054
53,3,15,253.583995870376,126.96926176529509,37.55315324800065
54,3,16,268.7585865274072,126.96960119699294,37.553159087765735
55,3,17,286.28222561457216,126.96994062878872,37.55316492655582
56,3,18,305.7512838459648,126.97028006068247,37.55317076437091
57,3,19,326.8182712824953,126.97061949267415,37.553176601210986
58,3,20,349.1940969070091,126.97095892476374,37.55318243707605
59,4,1,349.65523758855176,126.96450237898284,37.553341625396335
60,4,2,325.7005547437733,126.96484181053157,37.55334747886822
61,4,3,302.8248958518715,126.96518124217847,37.553353331365095
62,4,4,281.29163466941554,126.96552067392355,37.55335918288698
63,4,5,261.43268717260105,126.96586010576681,37.55336503343384
64,4,6,243.65778483270793,126.96619953770819,37.5533708830057
65,4,7,228.4538953418771,126.9665389697477,37.55337673160255
66,4,8,215.86331445559676,126.96687840188534,37.5533825792244
67,4,9,204.82028964711557,126.96721783412106,37.55338842587123
68,4,10,197.68076770832127,126.96755726645486,37.553394271543056
69,4,11,194.94619973822068,126.96789669888673,37.553400116239864
70,4,12,196.80029385902145,126.96823613141665,37.55340595996167
71,4,13,203.11743040325257,126.96857556404456,37.55341180270845
72,4,14,213.50181592727287,126.96891499677052,37.55341764448023
73,4,15,227.3969223073744,126.96925442959446,37.55342348527697
74,4,16,244.20420787834314,126.96959386251639,37.55342932509872
75,4,17,263.3667215426277,126.96993329553628,37.553435163945444
76,4,18,284.40879889119987,126.97027272865411,37.55344100181715
77,4,19,306.9441313290709,126.97061216186987,37.55344683871385
78,4,20,330.66755908008406,126.97095159518355,37.553452674635516
79,4,25,344.3485260269112,126.9726487632201,37.55348183961856
80,4,26,339.9543741950961,126.97298819712093,37.55348766969009
81,4,27,335.56818158499766,126.97332763111955,37.55349349878661
82,4,28,332.7073427913668,126.97366706521596,37.55349932690809
83,4,29,332.5392418983392,126.97400649941014,37.553505154054555
84,4,30,335.06793170542636,126.97434593370207,37.55351098022599
85,4,31,340.23328807214375,126.97468536809171,37.55351680542238
86,4,32,347.9178951525955,126.97502480257911,37.55352262964376
87,5,1,333.12718353315125,126.96449502604693,37.55361186186503
88,5,2,307.8892440408157,126.96483445881974,37.55361771539369
89,5,3,283.58041678388173,126.96517389169072,37.55362356794734
90,5,4,260.46097398768825,126.96551332465991,37.55362941952597
91,5,5,238.87650608193,126.96585275772726,37.55363527012958
92,5,6,219.2807591769179,126.96619219089271,37.55364111975818
93,5,7,202.25260822174977,126.96653162415635,37.55364696841177
94,5,8,188.47305313706516,126.96687105751805,37.553652816090334
95,5,9,176.51025002647165,126.96721049097788,37.55365866279387
96,5,10,168.1731347006129,126.96754992453576,37.553664508522395
97,5,11,164.9501079285899,126.96788935819171,37.5536703532759
98,5,12,167.13728780938266,126.96822879194573,37.553676197054386
99,5,13,174.53139501791466,126.96856822579775,37.55368203985784
100,5,14,186.51418905145616,126.9689076597478,37.55368788168628
101,5,15,202.2717913801756,126.96924709379584,37.55369372253969
102,5,16,220.99821822532473,126.96958652794189,37.553699562418075
103,5,17,242.00526302002444,126.96992596218588,37.55370540132144
104,5,18,264.7506037764865,126.97026539652781,37.55371123924977
105,5,19,288.82385128419907,126.97060483096769,37.553717076203085
106,5,20,313.643915562934,126.97094426550547,37.553722912181364
107,5,21,328.88334367758085,126.97128370014116,37.553728747184614
108,5,22,327.8545358174045,126.97162313487472,37.55373458121283
109,5,23,323.46038398558943,126.97196256970616,37.55374041426602
110,5,24,319.06623215377437,126.97230200463545,37.55374624634417
111,5,25,314.6720803219593,126.97264143966258,37.5537520774473
112,5,26,310.27792849014423,126.97298087478751,37.55375790757539
113,5,27,305.8837766583291,126.97332031001025,37.553763736728435
114,5,28,302.74972329172147,126.97365974533078,37.55376956490645
115,5,29,302.5649788198297,126.97399918074909,37.55377539210943
116,5,30,305.34200147256865,126.97433861626513,37.553781218337384
117,5,31,311.0014619230981,126.97467805187893,37.55378704359029
118,5,32,319.3843341928029,126.97501748759043,37.55379286786816
119,5,33,328.899997647885,126.97535692339963,37.55379869117098
120,5,34,338.4156611029671,126.97569635930654,37.553804513498775
121,5,35,347.9313245580492,126.97603579531109,37.55381033485152
122,6,0,345.6393922241184,126.96414823911414,37.55387624375963
123,6,1,318.57284197550973,126.96448767301283,37.553882098320095
124,6,2,292.0799921796223,126.96482710700973,37.55388795190552
125,6,3,266.33210099224493,126.96516654110482,37.55389380451594
126,6,4,241.56749410100375,126.96550597529811,37.55389965615133
127,6,5,218.1213432783083,126.96584540958953,37.553905506811695
128,6,6,196.46624794307226,126.96618484397914,37.55391135649703
129,6,7,177.25984533481878,126.96652427846684,37.55391720520734
130,6,8,161.3788057813634,126.96686371305266,37.55392305294263
131,6,9,148.84458995295904,126.96720314773658,37.55392889970289
132,6,10,138.87663787804522,126.9675425825186,37.553934745488114
133,6,11,134.9557535599452,126.96788201739867,37.5539405902983
134,6,12,137.6204573802733,126.96822145237678,37.55394643413347
135,6,13,146.51186013486614,126.96856088745294,37.55395227699361
136,6,14,160.59906609567048,126.96890032262709,37.55395811887871
137,6,15,178.65719941111945,126.96923975789927,37.55396395978878
138,6,16,199.61144699652738,126.96957919326941,37.553969799723816
139,6,17,222.64560324127314,126.96991862873752,37.5539756386838
140,6,18,247.14035487751335,126.97025806430358,37.553981476668774
141,6,19,271.9836390416725,126.97059749996758,37.55398731367869
142,6,20,296.82692320583175,126.9709369357295,37.55399314971358
143,6,21,298.8836399694877,126.97127637158928,37.55399898477343
144,6,22,298.17809011245265,126.971615807547,37.55400481885823
145,6,23,293.7839382806376,126.97195524360257,37.55401065196801
146,6,24,289.3897864488225,126.97229467975599,37.55401648410274
147,6,25,284.9956346170074,126.97263411600724,37.55402231526241
148,6,26,280.60148278519233,126.97297355235631,37.554028145447056
149,6,27,276.20733095337727,126.97331298880319,37.55403397465665
150,6,28,272.8014185431149,126.97365242534785,37.5540398028912
151,6,29,272.5963782117544,126.97399186199029,37.5540456301507
152,6,30,275.6754556887427,126.97433129873046,37.554051456435154
153,6,31,281.93107016472317,126.9746707355684,37.55405728174457
154,6,32,290.93346164010933,126.97501017250403,37.554063106078935
155,6,33,300.44912509519133,126.9753496095374,37.55406892943824
156,6,34,309.96478855027345,126.97568904666842,37.554074751822505
157,6,35,319.4804520053556,126.97602848389715,37.55408057323172
158,6,36,329.0201233983798,126.97636792122351,37.55408639366588
159,6,37,340.0541443180539,126.97670735864752,37.554092213124974
160,7,0,334.3374413563058,126.9641408847577,37.55414648014426
161,7,1,306.2737188855361,126.9644803198805,37.554152334761504
162,7,2,278.61381348969667,126.96481975510153,37.55415818840373
163,7,3,251.4910003450752,126.96515919042074,37.55416404107091
164,7,4,225.0995100880092,126.96549862583812,37.554169892763056
165,7,5,199.72945608787123,126.96583806135368,37.55417574348019
166,7,6,175.82355307652048,126.9661774969674,37.55418159322225
167,7,7,154.0648824481009,126.96651693267924,37.5541874419893
168,7,8,135.49189714164564,126.96685636848919,37.5541932897813
169,7,9,121.45432863442747,126.96719580439724,37.55419913659827
170,7,10,109.96016488523884,126.96753524040336,37.5542049824402
171,7,11,104.96462609951922,126.96787467650758,37.55421082730709
172,7,12,108.36931116711425,126.9682141127098,37.554216671198944
173,7,13,119.45812016542781,126.9685535490101,37.55422251411575
174,7,14,136.36926832714454,126.96889298540839,37.554228356057514
175,7,15,157.23521302400334,126.96923242190468,37.55423419702424
176,7,16,180.69102657665837,126.96957185849895,37.55424003701593
177,7,17,205.48007835625188,126.96991129519122,37.55424587603255
178,7,18,230.3233625204111,126.97025073198141,37.55425171407414
179,7,19,255.16664668457028,126.97059016886955,37.55425755114068
180,7,20,268.7506042449082,126.97092960585559,37.55426338723218
181,7,21,268.8839362613945,126.97126904293954,37.55426922234862
182,7,22,268.5016444075008,126.9716084801214,37.55427505649002
183,7,23,264.10749257568574,126.97194791740111,37.554280889656376
184,7,24,259.7133407438706,126.97228735477866,37.55428672184767
185,7,25,255.31918891205558,126.97262679225408,37.55429255306391
186,7,26,250.9250370802405,126.9729662298273,37.55429838330509
187,7,27,246.53088524842542,126.97330566749831,37.55430421257123
188,7,28,242.86587443495975,126.97364510526712,37.55431004086232
189,7,29,242.63553824633303,126.97398454313372,37.55431586817834
190,7,30,246.08977198396082,126.97432398109805,37.554321694519324
191,7,31,253.07774957539812,126.97466341916014,37.554327519885234
192,7,32,262.4825890874157,126.97500285731994,37.554333344276095
193,7,33,271.99825254249777,126.97534229557746,37.554339167691886
194,7,34,281.5139159975799,126.97568173393265,37.55434499013263
195,7,35,291.0295794526619,126.97602117238553,37.554350811598304
196,7,36,300.847853261949,126.97636061093606,37.554356632088925
197,7,37,312.56217681965904,126.97670004958422,37.554362451604476
198,7,38,324.5701626235813,126.97703948833004,37.55436827014497
199,7,39,336.5781484275037,126.97737892717345,37.55437408771039
200,7,40,348.58613423142606,126.97771836611443,37.55437990430076
201,8,5,184.40930254404236,126.96583071301968,37.554445980135036
202,8,6,158.20511070150448,126.96617014985755,37.55445182993386
203,8,7,133.6073472507048,126.9665095867935,37.55445767875763
204,8,8,111.68253859339673,126.96684902382759,37.554463526606355
205,8,9,94.31360248638943,126.96718846095979,37.55446937348003
206,8,10,81.82759421410437,126.96752789819007,37.554475219378666
207,8,11,74.98059779363648,126.96786733551842,37.55448106430225
208,8,12,79.6770036843382,126.96820677294481,37.554486908250794
209,8,13,94.2059434788326,126.96854621046923,37.554492751224274
210,8,14,114.89601671668153,126.96888564809169,37.554498593222704
211,8,15,138.97651767083116,126.96922508581213,37.554504434246084
212,8,16,163.8198018349904,126.96956452363057,37.55451027429441
213,8,17,188.66308599914962,126.96990396154696,37.554516113367676
214,8,18,213.50637016330887,126.97024339956131,37.554521951465894
215,8,19,238.34965432746804,126.9705828376736,37.55452778858905
216,8,20,238.750900536815,126.97092227588381,37.554533624737154
217,8,21,238.88423255330136,126.97126171419191,37.5545394599102
218,8,22,238.82519870254887,126.97160115259794,37.55454529410819
219,8,23,234.4310468707338,126.97194059110178,37.554551127331116
220,8,24,230.03689503891874,126.97228002970353,37.55455695957898
221,8,25,225.64274320710368,126.97261946840308,37.55456279085178
222,8,26,221.24859137528858,126.97295890720048,37.55456862114953
223,8,27,216.85443954347352,126.97329834609567,37.55457445047221
224,8,28,212.94847257254392,126.97363778508864,37.55458027881983
225,8,29,212.6857386521475,126.97397722417941,37.554586106192374
226,8,30,216.61808530462014,126.97431666336792,37.554591932589865
227,8,31,224.51605307964,126.9746561026542,37.55459775801228
228,8,32,234.03171653472208,126.97499554203814,37.554603582459634
229,8,33,243.54737998980414,126.97533498151982,37.55460940593192
230,8,34,253.06304344488626,126.97567442109921,37.554615228429135
231,8,35,262.5787068999684,126.97601386077626,37.55462104995128
232,8,36,273.0652303453543,126.97635330055097,37.554626870498346
233,8,37,285.0702093212641,126.97669274042332,37.554632690070356
234,8,38,297.07819512518654,126.97703218039331,37.55463850866728
235,8,39,309.0861809291088,126.9773716204609,37.554644326289136
236,8,40,321.0941667330312,126.97771106062608,37.55465014293592
237,8,41,333.1021525369536,126.97805050088883,37.55465595860763
238,8,42,345.11013834087595,126.97838994124916,37.55466177330427
239,9,6,144.7197024862149,126.96616280264955,37.55472206663182
240,9,7,117.32799527390591,126.96650224080967,37.55472791551234
241,9,8,91.58561383912225,126.96684167906793,37.55473376341778
242,9,9,69.35409756880954,126.96718111742426,37.55473961034818
243,9,10,54.43560413178976,126.9675205558787,37.55474545630351
244,9,11,45.01785599926207,126.96785999443121,37.554751301283794
245,9,12,52.468487965570866,126.96819943308178,37.55475714528901
246,9,13,72.65863403626724,126.96853887183035,37.554762988319176
247,9,14,97.3162411495697,126.96887831067697,37.554768830374265
248,9,15,122.1595253137289,126.96921774962158,37.554774671454304
249,9,16,147.00280947788812,126.96955718866418,37.55478051155928
250,9,17,171.84609364204738,126.96989662780474,37.554786350689184
251,9,18,196.6893778062066,126.97023606704327,37.554792188844026
252,9,19,208.61786481223555,126.97057550637972,37.55479802602381
253,9,20,208.75119682872185,126.9709149458141,37.55480386222851
