fid,row_index,col_index,mission_id,Blue,Green,Red,NIR,LST_K
2,39,23,LT05_023030_20070107,0.08355249999999997,0.10632249999999999,0.12307000000000001,0.15348499999999998,278.47117958
3,39,24,LT05_023030_20070107,0.09254499999999999,0.10632249999999999,0.11594749999999998,0.1377275,278.84716177999996
4,39,25,LT05_023030_20070107,0.09254499999999999,0.11561749999999998,0.13022,0.177135,278.84716177999996
6,40,23,LT05_023030_20070107,0.079015,0.08770499999999998,0.09447,0.1613775,279.04198892
7,40,24,LT05_023030_20070107,0.097055,0.11561749999999998,0.13734249999999998,0.15348499999999998,278.84716177999996
8,40,25,LT05_023030_20070107,0.09254499999999999,0.11561749999999998,0.13734249999999998,0.15348499999999998,279.41797112
9,40,26,LT05_023030_20070107,0.0745325,0.09702749999999999,0.10879749999999999,0.14562000000000003,279.41797112
10,40,27,LT05_023030_20070107,0.08355249999999997,0.10632249999999999,0.12307000000000001,0.177135,279.41797112
11,40,28,LT05_023030_20070107,0.08355249999999997,0.10632249999999999,0.12307000000000001,0.177135,279.41797112
13,41,23,LT05_023030_20070107,0.0745325,0.08770499999999998,0.09447,0.15348499999999998,279.04198892
14,41,24,LT05_023030_20070107,0.08355249999999997,0.10632249999999999,0.11594749999999998,0.1298625,279.41797112
15,41,25,LT05_023030_20070107,0.09254499999999999,0.10632249999999999,0.11594749999999998,0.1377275,279.41797112
16,41,26,LT05_023030_20070107,0.08806249999999999,0.10632249999999999,0.10879749999999999,0.15348499999999998,279.41797112
17,41,27,LT05_023030_20070107,0.08355249999999997,0.09702749999999999,0.10879749999999999,0.177135,279.41797112
18,41,28,LT05_023030_20070107,0.08355249999999997,0.09702749999999999,0.10879749999999999,0.177135,279.41797112
21,42,23,LT05_023030_20070107,0.051817500000000016,0.059655000000000014,0.06575999999999999,0.09826499999999999,279.22314398000003
22,42,24,LT05_023030_20070107,0.0745325,0.09702749999999999,0.1016475,0.1140775,279.58887212
23,42,25,LT05_023030_20070107,0.06999499999999997,0.10632249999999999,0.10879749999999999,0.12194250000000001,279.58887212
24,42,26,LT05_023030_20070107,0.06999499999999997,0.08770499999999998,0.09447,0.12194250000000001,279.58887212
25,42,27,LT05_023030_20070107,0.0745325,0.07835500000000001,0.09447,0.1298625,279.58887212
26,42,28,LT05_023030_20070107,0.0745325,0.07835500000000001,0.09447,0.1298625,279.58887212
27,42,29,LT05_023030_20070107,0.0745325,0.09702749999999999,0.1016475,0.15348499999999998,280.06055888000003
29,43,23,LT05_023030_20070107,0.060892500000000016,0.07835500000000001,0.0801425,0.1140775,279.22314398000003
30,43,24,LT05_023030_20070107,0.08355249999999997,0.09702749999999999,0.09447,0.1298625,279.58887212
31,43,25,LT05_023030_20070107,0.0472525,0.07835500000000001,0.07293749999999999,0.12194250000000001,279.58887212
32,43,26,LT05_023030_20070107,0.0654575,0.0690325,0.0801425,0.12194250000000001,279.58887212
33,43,27,LT05_023030_20070107,0.0654575,0.07835500000000001,0.08732000000000001,0.12194250000000001,279.58887212
34,43,28,LT05_023030_20070107,0.0654575,0.07835500000000001,0.08732000000000001,0.12194250000000001,279.58887212
35,43,29,LT05_023030_20070107,0.060892500000000016,0.0690325,0.08732000000000001,0.1298625,279.49316755999996
37,44,23,LT05_023030_20070107,0.0563825,0.059655000000000014,0.07293749999999999,0.09826499999999999,279.22314398000003
38,44,24,LT05_023030_20070107,0.09254499999999999,0.09702749999999999,0.11594749999999998,0.1377275,279.58887212
39,44,25,LT05_023030_20070107,0.06999499999999997,0.08770499999999998,0.08732000000000001,0.1298625,279.58887212
40,44,26,LT05_023030_20070107,0.0654575,0.0690325,0.0801425,0.1377275,279.58887212
41,44,27,LT05_023030_20070107,0.0654575,0.08770499999999998,0.08732000000000001,0.12194250000000001,279.58887212
42,44,28,LT05_023030_20070107,0.0563825,0.059655000000000014,0.07293749999999999,0.1140775,279.58887212
43,44,29,LT05_023030_20070107,0.060892500000000016,0.0690325,0.0801425,0.14562000000000003,279.49316755999996
44,44,30,LT05_023030_20070107,0.0654575,0.08770499999999998,0.08732000000000001,0.14562000000000003,279.49316755999996
45,45,27,LT05_023030_20070107,0.060892500000000016,0.07835500000000001,0.0801425,0.1298625,279.58887212
46,45,28,LT05_023030_20070107,0.060892500000000016,0.08770499999999998,0.08732000000000001,0.14562000000000003,279.58887212
47,45,29,LT05_023030_20070107,0.0654575,0.07835500000000001,0.08732000000000001,0.15348499999999998,279.49316755999996
2,39,23,LT05_023030_20070312,0.1165525,0.1333275,0.1398725,0.16264250000000002,290.17448006
3,39,24,LT05_023030_20070312,0.12593,0.14793,0.15939750000000003,0.1763925,290.56413434
4,39,25,LT05_023030_20070312,0.1235925,0.14793,0.15549249999999998,0.1809575,290.56413434
6,40,23,LT05_023030_20070312,0.10481000000000001,0.1137475,0.12031999999999998,0.16264250000000002,290.17448006
7,40,24,LT05_023030_20070312,0.12593,0.152825,0.16718,0.1763925,290.56413434
