mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LT05_115034_20100205,2010-02-05 01:55:45,3.0,150.09545994,31.04485808
LT05_115034_20100221,2010-02-21 01:55:47,21.0,147.46541673,35.92256931
LT05_115034_20100426,2010-04-26 01:55:42,100.0,134.42557346,58.76804077
LT05_115034_20100512,2010-05-12 01:55:40,15.0,129.15880484,62.64846417
LT05_115034_20100629,2010-06-29 01:55:25,37.0,118.13913913,65.12178582
LT05_115034_20100715,2010-07-15 01:55:22,60.0,120.11167512,63.55248098
LT05_115034_20100816,2010-08-16 01:55:11,93.0,131.38198095,58.04807041
LT05_115034_20100917,2010-09-17 01:55:03,60.0,145.14745076,49.57051886
LT05_115034_20101019,2010-10-19 01:54:47,6.0,154.94421583,39.23746133
LT05_115034_20101104,2010-11-04 01:54:41,30.0,157.58395297,34.25767565
LT05_115034_20101120,2010-11-20 01:54:40,26.0,158.67423942,30.00195891
LT05_115034_20110208,2011-02-08 01:54:50,52.0,149.40394152,31.71552476
LT05_115034_20110312,2011-03-12 01:54:46,27.0,144.096447,42.59885558
LT05_115034_20110328,2011-03-28 01:54:42,61.0,141.1879953,48.68574588
LT05_115034_20110413,2011-04-13 01:54:38,0.0,137.63809425,54.45500316
LT05_115034_20110429,2011-04-29 01:54:30,90.0,133.12686217,59.37667125
LT05_115034_20110616,2011-06-16 01:54:11,19.0,118.53509714,65.45500207
LT05_115034_20110702,2011-07-02 01:54:05,60.0,117.77911523,64.67348447
LT05_115034_20110718,2011-07-18 01:53:59,45.0,120.27368727,62.95769004
LT05_115034_20110803,2011-08-03 01:53:49,81.0,125.39298032,60.46037057
LT05_115034_20110904,2011-09-04 01:53:31,84.0,139.11408402,53.20813601
LT05_116034_20100127,2010-01-27 02:01:54,44.0,151.59781508,28.85958855
LT05_116034_20100228,2010-02-28 02:01:59,82.0,146.33520555,38.36464441
LT05_116034_20100316,2010-03-16 02:02:00,6.0,143.68338271,44.33079011
LT05_116034_20100417,2010-04-17 02:01:56,60.0,136.95935391,56.01533799
LT05_116034_20100519,2010-05-19 02:01:49,71.0,126.69180926,63.86119004
LT05_116034_20100604,2010-06-04 02:01:44,10.0,121.56449062,65.47053704
LT05_116034_20100706,2010-07-06 02:01:35,17.0,118.62301569,64.54282935
LT05_116034_20100722,2010-07-22 02:01:31,82.0,121.93009187,62.6061712
LT05_116034_20100924,2010-09-24 02:01:11,2.0,147.76970327,47.3929552
LT05_116034_20101010,2010-10-10 02:01:03,12.0,152.78958609,42.1856495
LT05_116034_20101026,2010-10-26 02:00:54,1.0,156.27642494,36.98862857
LT05_116034_20101111,2010-11-11 02:00:49,10.0,158.24863026,32.27116933
LT05_116034_20101127,2010-11-27 02:00:51,48.0,158.69550466,28.48271823
LT05_116034_20101213,2010-12-13 02:00:53,67.0,157.83681144,26.06872814
LT05_116034_20101229,2010-12-29 02:00:57,7.0,156.01237429,25.3535995
LT05_116034_20110114,2011-01-14 02:00:59,53.0,153.58347575,26.49488086
LT05_116034_20110130,2011-01-30 02:00:59,3.0,150.91884945,29.40221673
LT05_116034_20110215,2011-02-15 02:01:01,7.0,148.24246699,33.79631632
LT05_116034_20110303,2011-03-03 02:01:00,24.0,145.61503008,39.25325102
LT05_116034_20110319,2011-03-19 02:00:54,47.0,142.87382077,45.26656547
LT05_116034_20110404,2011-04-04 02:00:52,0.0,139.73729429,51.27964414
LT05_116034_20110420,2011-04-20 02:00:45,2.0,135.8060165,56.74168876
LT05_116034_20110607,2011-06-07 02:00:28,39.0,120.36811824,65.36388758
LT05_116034_20110810,2011-08-10 01:59:56,82.0,128.1941462,59.12734433
LT05_116034_20110927,2011-09-27 01:59:20,0.0,148.19269865,46.34684701
LT05_116034_20111029,2011-10-29 01:58:55,77.0,156.2109333,35.99196166
LE07_115034_20100112,2010-01-12 01:56:20,7.0,154.21380572,26.41213463
LE07_115034_20100128,2010-01-28 01:56:34,43.0,151.60912636,29.15942862
LE07_115034_20100317,2010-03-17 01:57:01,26.0,143.81156683,44.84600498
LE07_115034_20100402,2010-04-02 01:57:04,1.0,140.84896913,50.91805223
LE07_115034_20100925,2010-09-25 01:57:09,34.0,148.84740722,47.31787599
LE07_115034_20110405,2011-04-05 01:58:29,1.0,140.83268194,52.13921924
LE07_115034_20110608,2011-06-08 01:58:28,3.0,121.68569664,66.11860178
LE07_115034_20111201,2011-12-01 01:58:35,82.0,159.56904137,28.06346267
LE07_115034_20111217,2011-12-17 01:58:42,5.0,158.43624377,26.04219139
LE07_115034_20120102,2012-01-02 01:58:52,18.0,156.42910619,25.78682984
LE07_115034_20120118,2012-01-18 01:58:53,35.0,153.95425317,27.39044499
LE07_115034_20120203,2012-02-03 01:58:56,2.0,151.32156805,30.71565401
LE07_115034_20120219,2012-02-19 01:59:00,4.0,148.74209957,35.44267494
LE07_115034_20120407,2012-04-07 01:58:56,3.0,140.40296126,53.19373351
LE07_115034_20120423,2012-04-23 01:59:06,62.0,136.37782282,58.49824538
LE07_115034_20120509,2012-05-09 01:59:30,10.0,131.2905659,62.63570971
LE07_115034_20120525,2012-05-25 01:59:27,10.0,125.83080462,65.28443502
LE07_115034_20121219,2012-12-19 02:00:59,4.0,158.68254932,26.02935159
LE07_115034_20130104,2013-01-04 02:01:02,1.0,156.5593527,26.10969526
LE07_115034_20130120,2013-01-20 02:01:02,100.0,154.03085328,28.03653241
LE07_115034_20130221,2013-02-21 02:01:02,19.0,148.87707514,36.5828826
LE07_115034_20130309,2013-03-09 02:01:01,12.0,146.38913555,42.38098522
LE07_115034_20130410,2013-04-10 02:00:54,58.0,140.50110583,54.41999246
LE07_115034_20130512,2013-05-12 02:00:44,35.0,131.1093424,63.47927541
LE07_115034_20130613,2013-06-13 02:00:32,84.0,121.30970138,66.56145615
LE07_115034_20130629,2013-06-29 02:00:25,25.0,119.9430633,65.97016066
LE07_115034_20130731,2013-07-31 02:00:07,61.0,126.76536804,61.92682973
LE07_115034_20131206,2013-12-06 02:01:13,4.0,159.93562471,27.35884339
LE07_115034_20140107,2014-01-07 02:01:18,100.0,156.20990192,26.33597624
LE07_115034_20140123,2014-01-23 02:01:36,1.0,153.66090655,28.57585421
LE07_115034_20140208,2014-02-08 02:01:44,97.0,151.08157002,32.45723437
LE07_115034_20140515,2014-05-15 02:02:11,24.0,130.75735445,64.22875747
LE07_115034_20140531,2014-05-31 02:02:15,1.0,125.36774338,66.32893103
LE07_115034_20141225,2014-12-25 02:03:24,7.0,158.60845203,26.02696786
LE07_115034_20160113,2016-01-13 02:06:28,14.0,156.6047883,27.32381055
LE07_115034_20160129,2016-01-29 02:06:39,100.0,154.09872551,30.21182117
LE07_115034_20160621,2016-06-21 02:07:26,78.0,122.96854301,67.5892733
LE07_115034_20160909,2016-09-09 02:07:34,47.0,146.70741129,53.25324658
LE07_115034_20161011,2016-10-11 02:07:37,62.0,157.2516596,42.76842174
LE07_115034_20161027,2016-10-27 02:07:34,63.0,160.31551113,37.47179462
LE07_115034_20161112,2016-11-12 02:07:26,30.0,161.80939093,32.73392903
LE07_115034_20161128,2016-11-28 02:07:23,20.0,161.87295191,29.04173911
LE07_115034_20161230,2016-12-30 02:07:12,7.0,158.762787,26.33699641
LE07_115034_20170115,2017-01-15 02:07:01,2.0,156.30464764,27.73281204
LE07_115034_20170131,2017-01-31 02:06:52,41.0,153.71202877,30.88249235
