mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LT05_026029_19950823,1995-08-23 15:55:52,29.0,128.29727052,45.96449516
LT05_026029_19950908,1995-09-08 15:55:06,4.0,133.81218936,41.68324351
LT05_026029_19950924,1995-09-24 15:54:18,96.0,139.06726914,36.90933916
LT05_026029_19951010,1995-10-10 15:53:28,0.0,143.54018698,31.84055722
LT05_026029_19951026,1995-10-26 15:52:34,79.0,146.84013591,26.77669323
LT05_026029_20000109,2000-01-09 16:27:51,8.0,153.67790705,18.83237839
LT05_026029_20000125,2000-01-25 16:27:23,41.0,151.18329471,21.2895977
LT05_027029_19930128,1993-01-28 16:20:47,33.0,147.72983785,21.00132592
LT05_027029_19930213,1993-02-13 16:20:57,42.0,145.32340318,25.34901262
LT05_027029_19930301,1993-03-01 16:21:03,0.0,143.04955833,30.80612598
LT05_027029_19930317,1993-03-17 16:21:11,1.0,140.85114293,36.86780747
LT05_027029_19930402,1993-04-02 16:21:15,1.0,138.4872076,42.99126827
LT05_027029_19930418,1993-04-18 16:21:23,50.0,135.68407226,48.63959543
LT05_027029_19930504,1993-05-04 16:21:28,83.0,132.2584887,53.31848168
LT05_027029_19930520,1993-05-20 16:21:30,82.0,128.39350457,56.61926538
LT05_027029_19930605,1993-06-05 16:21:33,29.0,124.85549664,58.32867862
LT05_027029_19930621,1993-06-21 16:21:30,4.0,122.71208129,58.49564376
LT05_027029_19930707,1993-07-07 16:21:25,99.0,122.79414246,57.33894163
LT05_027029_19930808,1993-08-08 16:21:25,30.0,129.47156485,52.06367859
LT05_027029_19930824,1993-08-24 16:21:24,0.0,134.80701164,48.24016814
LT05_027029_19930909,1993-09-09 16:21:22,39.0,140.42508659,43.76175213
LT05_027029_19930925,1993-09-25 16:21:18,60.0,145.61796199,38.77578422
LT05_027029_19931011,1993-10-11 16:21:14,10.0,149.90091041,33.5378315
LT05_027029_19931027,1993-10-27 16:21:08,28.0,152.94606449,28.37590542
LT05_027029_19931112,1993-11-12 16:21:00,78.0,154.60336231,23.73198549
LT05_027029_19940115,1994-01-15 16:20:23,0.0,149.70377502,18.52165465
LT05_027029_19940131,1994-01-31 16:20:13,0.0,147.15021306,21.58386511
LT05_027029_19940304,1994-03-04 16:19:47,1.0,142.29669119,31.66556936
LT05_027029_19940320,1994-03-20 16:19:34,97.0,139.95699932,37.72187721
LT05_027029_19940405,1994-04-05 16:19:17,6.0,137.39378619,43.7454562
LT05_027029_19940421,1994-04-21 16:18:58,37.0,134.31612465,49.19755199
LT05_027029_19940507,1994-05-07 16:18:40,6.0,130.63008377,53.59299633
LT05_027029_19940523,1994-05-23 16:18:23,100.0,126.61003047,56.55070121
LT05_027029_19940608,1994-06-08 16:18:05,16.0,123.13404119,57.90717612
LT05_027029_19940624,1994-06-24 16:17:43,39.0,121.23227389,57.75471651
LT05_027029_19940710,1994-07-10 16:17:18,4.0,121.62568394,56.34493079
LT05_027029_19940726,1994-07-26 16:16:51,67.0,124.29626281,53.94766137
LT05_027029_19940811,1994-08-11 16:16:25,59.0,128.68813557,50.72482669
LT05_027029_19940827,1994-08-27 16:16:02,83.0,134.04099758,46.7950237
LT05_027029_19940912,1994-09-12 16:15:37,93.0,139.55442178,42.24206693
LT05_027029_19941030,1994-10-30 16:14:09,15.0,151.50003332,26.93001738
LT05_027029_19941115,1994-11-15 16:13:36,6.0,152.91927713,22.41757648
LT05_027029_19941201,1994-12-01 16:13:05,79.0,152.96792532,18.92009196
LT05_027029_19950118,1995-01-18 16:11:27,4.0,147.21415484,18.06915858
LT05_027029_19950219,1995-02-19 16:10:12,83.0,141.81427687,25.95389935
