mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LE07_026046_20160214,2016-02-14 17:01:29,1.0,139.21483617,47.45993249
LE07_026046_20160301,2016-03-01 17:01:34,71.0,133.92318647,52.19208687
LE07_026046_20160418,2016-04-18 17:01:54,53.0,108.72733927,66.01404179
LE07_026046_20160504,2016-05-04 17:01:59,35.0,96.90059339,68.31059306
LE07_026046_20160520,2016-05-20 17:02:02,14.0,86.23742419,68.98542515
LE07_026046_20160707,2016-07-07 17:02:10,15.0,79.92194119,67.10888058
LE07_026046_20160723,2016-07-23 17:02:12,27.0,86.52295615,66.68243131
LE07_026046_20160824,2016-08-24 17:02:16,83.0,108.88454579,65.28284008
LE07_026046_20160909,2016-09-09 17:02:19,3.0,121.89911202,63.34066877
LE07_026046_20160925,2016-09-25 17:02:21,38.0,133.61287135,60.23688705
LE07_026046_20161011,2016-10-11 17:02:21,29.0,142.72680128,56.18802461
LE07_026046_20161027,2016-10-27 17:02:18,66.0,148.89771171,51.71110494
LE07_026046_20161112,2016-11-12 17:02:10,95.0,152.31187981,47.39132457
LE07_026046_20161128,2016-11-28 17:02:07,0.0,153.39480779,43.82520753
LE07_026046_20161214,2016-12-14 17:02:03,1.0,152.60245328,41.49713854
LE07_026046_20170115,2017-01-15 17:01:45,5.0,147.10216951,41.70076634
LE07_026046_20170131,2017-01-31 17:01:36,0.0,143.05704305,44.28479177
LE07_026046_20170216,2017-02-16 17:01:34,82.0,138.40736189,48.24237393
LE07_026046_20170304,2017-03-04 17:01:43,16.0,132.9367269,53.08663361
LE07_026046_20170320,2017-03-20 17:01:48,7.0,126.19685182,58.21167367
LE07_026046_20170405,2017-04-05 17:01:52,0.0,117.55450442,62.93293326
LE07_026046_20170421,2017-04-21 17:02:00,6.0,106.76297849,66.54671561
LE07_026046_20170507,2017-05-07 17:02:04,19.0,94.90282206,68.54196085
LE07_026046_20170523,2017-05-23 17:02:07,10.0,84.73496655,68.97046137
LE07_026046_20170608,2017-06-08 17:02:12,19.0,78.68485501,68.43124688
LE07_026046_20170624,2017-06-24 17:02:15,53.0,77.4873969,67.63211556
LE07_026046_20170726,2017-07-26 17:02:15,56.0,88.02510714,66.59383487
LE07_026046_20170811,2017-08-11 17:02:13,28.0,98.51014279,66.09778821
LE07_026046_20170827,2017-08-27 17:02:13,37.0,111.10456611,64.99590686
LE07_026046_20170912,2017-09-12 17:02:12,1.0,124.01320756,62.85964978
LE07_026046_20171014,2017-10-14 17:02:14,22.0,143.9400322,55.40476576
LE07_026046_20171030,2017-10-30 17:02:14,19.0,149.59838858,50.90606458
LE07_026046_20171115,2017-11-15 17:02:12,0.0,152.58481858,46.684794
LE07_026046_20171201,2017-12-01 17:02:06,1.0,153.30838031,43.29922273
LE07_026046_20171217,2017-12-17 17:01:57,40.0,152.23958143,41.21772903
LE07_026047_20160214,2016-02-14 17:01:53,0.0,137.8926354,48.39334089
LE07_026047_20160301,2016-03-01 17:01:58,72.0,132.27074105,53.01698962
LE07_026047_20160317,2016-03-17 17:02:07,64.0,125.32028108,57.99768213
LE07_026047_20160402,2016-04-02 17:02:10,0.0,116.46717952,62.64186415
LE07_026047_20160418,2016-04-18 17:02:18,68.0,105.38872392,66.22721935
LE07_026047_20160504,2016-05-04 17:02:23,2.0,93.16987839,68.21859734
LE07_026047_20160520,2016-05-20 17:02:26,4.0,82.5127815,68.62155678
LE07_026047_20160707,2016-07-07 17:02:34,10.0,76.64438142,66.60111638
LE07_026047_20160723,2016-07-23 17:02:36,57.0,83.18465012,66.33453178
LE07_026047_20160909,2016-09-09 17:02:42,11.0,119.08633164,63.8803807
LE07_026047_20160925,2016-09-25 17:02:45,59.0,131.38129188,61.04967999
LE07_026047_20161011,2016-10-11 17:02:45,21.0,141.03204264,57.18745632
LE07_026047_20161027,2016-10-27 17:02:42,28.0,147.5981876,52.82181483
LE07_026047_20161112,2016-11-12 17:02:34,57.0,151.26299288,48.5587776
LE07_026047_20161128,2016-11-28 17:02:31,1.0,152.48348835,45.01006669
LE07_026047_20161214,2016-12-14 17:02:27,0.0,151.7418486,42.67066779
LE07_026047_20161230,2016-12-30 17:02:19,28.0,149.49189767,41.88087734
LE07_026047_20170115,2017-01-15 17:02:08,0.0,146.13354157,42.78283761
LE07_026047_20170131,2017-01-31 17:02:00,1.0,141.9352795,45.29609004
LE07_026047_20170216,2017-02-16 17:01:58,35.0,137.03979247,49.16178329
LE07_026047_20170304,2017-03-04 17:02:07,6.0,131.21399259,53.89037356
LE07_026047_20170320,2017-03-20 17:02:12,0.0,123.98337456,58.86133495
LE07_026047_20170405,2017-04-05 17:02:16,0.0,114.7268866,63.37162234
LE07_026047_20170421,2017-04-21 17:02:24,9.0,103.32975163,66.70939286
LE07_026047_20170507,2017-05-07 17:02:28,15.0,91.1432576,68.398684
LE07_026047_20170523,2017-05-23 17:02:30,35.0,81.04181837,68.57404429
LE07_026047_20170608,2017-06-08 17:02:36,50.0,75.22464458,67.89166076
LE07_026047_20170624,2017-06-24 17:02:39,48.0,74.18662434,67.06618268
LE07_026047_20170726,2017-07-26 17:02:39,37.0,84.67841998,66.28311233
LE07_026047_20170811,2017-08-11 17:02:37,30.0,95.14499194,66.05145753
LE07_026047_20170827,2017-08-27 17:02:37,63.0,107.93550011,65.27119969
LE07_026047_20170912,2017-09-12 17:02:36,5.0,121.30180696,63.45355393
LE07_026047_20171014,2017-10-14 17:02:38,7.0,142.32459774,56.42727644
LE07_026047_20171030,2017-10-30 17:02:38,30.0,148.35143484,52.02912558
LE07_026047_20171115,2017-11-15 17:02:36,1.0,151.56123802,47.85475004
LE07_026047_20171201,2017-12-01 17:02:29,0.0,152.40578193,44.48114331
LE07_026047_20171217,2017-12-17 17:02:21,53.0,151.37562462,42.38397832
LC08_026046_20160105,2016-01-05 16:59:41,27.38,148.86629041,40.6163898
LC08_026046_20160121,2016-01-21 16:59:41,0.03,145.33780662,42.11355865
LC08_026046_20160206,2016-02-06 16:59:37,59.18,141.08644106,45.16483294
LC08_026046_20160222,2016-02-22 16:59:30,23.86,136.12464196,49.41222074
LC08_026046_20160309,2016-03-09 16:59:28,62.18,130.20939663,54.34624724
LC08_026046_20160325,2016-03-25 16:59:20,4.67,122.84295329,59.33724372
LC08_026046_20160410,2016-04-10 16:59:13,26.44,113.48590756,63.67860737
LC08_026046_20160426,2016-04-26 16:59:08,15.29,102.28745735,66.7135187
LC08_026046_20160512,2016-05-12 16:59:08,26.57,90.97103884,68.15091249
LC08_026046_20160528,2016-05-28 16:59:15,7.33,82.23219331,68.2102565
LC08_026046_20160613,2016-06-13 16:59:18,39.14,77.88021294,67.54190015
LC08_026046_20160629,2016-06-29 16:59:26,6.34,78.19205454,66.79385023
LC08_026046_20160715,2016-07-15 16:59:34,36.28,82.72159608,66.26059357
