mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LT05_013032_20060130,2006-01-30 15:23:51,6.0,152.30566205,27.37003251
LT05_013032_20060215,2006-02-15 15:24:13,2.0,149.98351657,31.95247156
LT05_013032_20060303,2006-03-03 15:24:35,18.0,147.82545113,37.57196377
LT05_013032_20060420,2006-04-20 15:25:27,0.0,140.26328407,55.50629115
LT05_013032_20060506,2006-05-06 15:25:40,43.0,136.32771025,60.08927117
LT05_013032_20060522,2006-05-22 15:25:52,3.0,131.7400649,63.2401555
LT05_013032_20060623,2006-06-23 15:26:24,82.0,125.29900661,64.7612552
LT05_013032_20060709,2006-07-09 15:26:39,23.0,125.90584006,63.51112097
LT05_013032_20060725,2006-07-25 15:26:52,75.0,129.31699684,61.26384799
LT05_013032_20060810,2006-08-10 15:27:03,22.0,134.68409055,58.14862918
LT05_013032_20060911,2006-09-11 15:27:26,26.0,147.17475574,49.59044102
LT05_013032_20060927,2006-09-27 15:27:37,21.0,152.6016198,44.41739323
LT05_013032_20061013,2006-10-13 15:27:49,31.0,156.82922877,39.01430981
LT05_013032_20061029,2006-10-29 15:27:59,37.0,159.61857935,33.76639527
LT05_013032_20061130,2006-11-30 15:28:15,88.0,160.89341741,25.61663557
LT05_013032_20061216,2006-12-16 15:28:22,2.0,159.71852441,23.5963139
LT05_013032_20070117,2007-01-17 15:28:34,9.0,155.3667218,25.01465474
LT05_013032_20070218,2007-02-18 15:28:41,31.0,150.61294275,33.18331909
LT05_013032_20070306,2007-03-06 15:28:40,9.0,148.45526257,38.92761877
LT05_013032_20070322,2007-03-22 15:28:37,38.0,146.28602897,45.10952089
LT05_013032_20070407,2007-04-07 15:28:31,89.0,143.79133634,51.19165701
LT05_013032_20070423,2007-04-23 15:28:24,1.0,140.56734064,56.65284222
LT05_013032_20070509,2007-05-09 15:28:15,45.0,136.42642282,60.99310306
LT05_013032_20070525,2007-05-25 15:28:04,2.0,131.67854573,63.84473344
LT05_013032_20070626,2007-06-26 15:27:32,7.0,125.59718384,64.77876775
LT05_013032_20070712,2007-07-12 15:27:23,8.0,126.57839409,63.29183903
LT05_013032_20070728,2007-07-28 15:27:14,24.0,130.25282883,60.83528077
LT05_013032_20070813,2007-08-13 15:27:04,28.0,135.73449875,57.52907644
LT05_013032_20070914,2007-09-14 15:26:46,63.0,147.94550757,48.65911038
LT05_013032_20070930,2007-09-30 15:26:39,19.0,153.10485631,43.4124848
LT05_013032_20080324,2008-03-24 15:23:30,32.0,144.34988983,45.67999265
LT05_013032_20080409,2008-04-09 15:23:08,86.0,141.49412615,51.61617419
LT05_013032_20080425,2008-04-25 15:22:43,38.0,137.84870053,56.82395743
LT05_013032_20080511,2008-05-11 15:22:18,55.0,133.28761282,60.82998704
LT05_013032_20080527,2008-05-27 15:21:53,80.0,128.42897252,63.28528798
LT05_013032_20080612,2008-06-12 15:21:27,0.0,124.51411675,64.1242224
LT05_013032_20080628,2008-06-28 15:21:00,38.0,123.00935415,63.54103937
LT05_013032_20080730,2008-07-30 15:20:04,43.0,128.38321457,59.23684457
LT05_013032_20080815,2008-08-15 15:19:35,46.0,133.95886782,55.83835915
LT05_013032_20080831,2008-08-31 15:19:10,0.0,140.16590437,51.694158
LT05_013032_20081002,2008-10-02 15:18:13,21.0,151.13588444,41.69197906
LT05_013032_20081018,2008-10-18 15:17:40,42.0,154.89791497,36.35414397
LT05_013032_20081103,2008-11-03 15:17:06,61.0,157.20819474,31.30290897
LT05_013032_20081119,2008-11-19 15:17:06,33.0,158.3932988,27.11593284
LT05_013032_20090122,2009-01-22 15:18:57,11.0,152.32987714,25.2583579
LT05_013032_20090207,2009-02-07 15:19:22,98.0,149.89687456,29.13815834
LT05_013032_20090223,2009-02-23 15:19:46,11.0,147.59344878,34.29154504
LT05_013032_20090327,2009-03-27 15:20:30,27.0,143.0387835,46.43513984
LT05_013032_20090412,2009-04-12 15:20:49,1.0,140.23269698,52.35278365
LT05_013032_20090428,2009-04-28 15:21:07,4.0,136.63174137,57.46392413
LT05_013032_20090530,2009-05-30 15:21:43,11.0,127.6826366,63.58326964
LT05_013032_20090615,2009-06-15 15:22:01,48.0,124.39429861,64.27191772
LT05_013032_20090701,2009-07-01 15:22:18,81.0,123.62330174,63.58668134
LT05_013032_20090717,2009-07-17 15:22:34,43.0,125.7968205,61.82257981
LT05_013032_20090818,2009-08-18 15:23:03,0.0,136.36663777,55.68905591
LT05_013032_20090903,2009-09-03 15:23:17,73.0,142.78582154,51.4481946
LT05_013032_20090919,2009-09-19 15:23:30,0.0,148.7560837,46.57888359
LT05_013032_20091005,2009-10-05 15:23:41,2.0,153.71252806,41.30141108
