mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LE07_197031_20150108,2015-01-08 10:29:01,4.0,158.34104784,22.95899745
LE07_197031_20150124,2015-01-24 10:29:03,10.0,155.99638057,25.44266904
LE07_197031_20150209,2015-02-09 10:29:09,1.0,153.76365175,29.53789885
LE07_197031_20150225,2015-02-25 10:29:17,67.0,151.81409815,34.88173034
LE07_197031_20150313,2015-03-13 10:29:23,35.0,150.04864911,40.95071895
LE07_197031_20150329,2015-03-29 10:29:31,72.0,148.23643277,47.23592007
LE07_197031_20150414,2015-04-14 10:29:40,5.0,146.0300952,53.21494538
LE07_197031_20150430,2015-04-30 10:29:46,38.0,143.04290537,58.37617918
LE07_197031_20150516,2015-05-16 10:29:54,15.0,139.18030083,62.27586685
LE07_197031_20150601,2015-06-01 10:29:58,8.0,134.99471356,64.59351841
LE07_197031_20150617,2015-06-17 10:30:04,3.0,131.82703297,65.27313836
LE07_197031_20150703,2015-07-03 10:30:07,37.0,131.01175264,64.48793026
LE07_197031_20150719,2015-07-19 10:30:12,45.0,132.9745507,62.5153603
LE07_197031_20150804,2015-08-04 10:30:15,17.0,137.21073087,59.55510354
LE07_197031_20150820,2015-08-20 10:30:18,4.0,142.71222583,55.72109514
LE07_197031_20150905,2015-09-05 10:30:19,50.0,148.51096313,51.12629325
LE07_197031_20150921,2015-09-21 10:30:25,11.0,153.81483789,45.9339006
LE07_197031_20151007,2015-10-07 10:30:30,43.0,158.21030127,40.44666212
LE07_197031_20151023,2015-10-23 10:30:48,1.0,161.30663772,34.99000765
LE07_197031_20151108,2015-11-08 10:31:02,65.0,163.00734687,30.01659202
LE07_197031_20151124,2015-11-24 10:31:18,1.0,163.35076856,25.99392478
LE07_197031_20151210,2015-12-10 10:31:33,18.0,162.5219435,23.3681649
LE07_197031_20151226,2015-12-26 10:31:46,12.0,160.82600864,22.47187332
LE07_197031_20160111,2016-01-11 10:32:02,69.0,158.65307412,23.46297718
LE07_197031_20160127,2016-01-27 10:32:13,7.0,156.3691685,26.28073093
LE07_197031_20160212,2016-02-12 10:32:19,87.0,154.24579788,30.65037079
LE07_197031_20160228,2016-02-28 10:32:23,45.0,152.39266553,36.16030526
LE07_197031_20160315,2016-03-15 10:32:33,72.0,150.70416703,42.3210228
LE07_197031_20160331,2016-03-31 10:32:37,77.0,148.95064447,48.6005159
LE07_197031_20160416,2016-04-16 10:32:44,4.0,146.73072213,54.4899456
LE07_197031_20160502,2016-05-02 10:32:50,4.0,143.6935449,59.48607674
LE07_197031_20160518,2016-05-18 10:32:52,10.0,139.76353062,63.15623359
LE07_197031_20160619,2016-06-19 10:33:01,6.0,132.78209379,65.63691519
LE07_197031_20160705,2016-07-05 10:33:01,35.0,132.39298781,64.63041065
LE07_197031_20160721,2016-07-21 10:33:02,17.0,134.76407101,62.45635692
LE07_197031_20160806,2016-08-06 10:33:04,18.0,139.23732425,59.30327093
LE07_197031_20160822,2016-08-22 10:33:06,0.0,144.8043556,55.2885356
LE07_197031_20160907,2016-09-07 10:33:09,23.0,150.48231728,50.52620322
LE07_197031_20160923,2016-09-23 10:33:12,64.0,155.57268814,45.21967661
LE07_197031_20161009,2016-10-09 10:33:13,50.0,159.58799338,39.64704421
LE07_197031_20161110,2016-11-10 10:33:02,57.0,163.63014497,29.33379289
LE07_197031_20161212,2016-12-12 10:32:55,34.0,162.56130037,23.14185413
LE07_197031_20161228,2016-12-28 10:32:48,1.0,160.67675941,22.55607751
LE07_198031_20150115,2015-01-15 10:35:12,16.0,157.32144562,23.82587366
LE07_198031_20150131,2015-01-31 10:35:18,33.0,154.9933994,27.05610523
LE07_198031_20150216,2015-02-16 10:35:21,3.0,152.89253848,31.76001847
LE07_198031_20150320,2015-03-20 10:35:39,80.0,149.27826741,43.70781991
LE07_198031_20150405,2015-04-05 10:35:46,9.0,147.34650594,49.92114994
LE07_198031_20150421,2015-04-21 10:35:51,8.0,144.83004677,55.60290109
LE07_198031_20150507,2015-05-07 10:35:59,27.0,141.45074469,60.26083541
LE07_198031_20150523,2015-05-23 10:36:06,15.0,137.32206868,63.49478956
LE07_198031_20150608,2015-06-08 10:36:13,37.0,133.39648812,65.08864297
LE07_198031_20150624,2015-06-24 10:36:14,18.0,131.13176601,65.09131374
LE07_198031_20150710,2015-07-10 10:36:21,3.0,131.54253976,63.75862884
LE07_198031_20150811,2015-08-11 10:36:28,1.0,139.53004992,57.97970218
LE07_198031_20150827,2015-08-27 10:36:29,12.0,145.27064633,53.79668161
LE07_198031_20150912,2015-09-12 10:36:33,71.0,150.92969825,48.91472205
LE07_198031_20150928,2015-09-28 10:36:36,15.0,155.84348554,43.54248039
LE07_198031_20151014,2015-10-14 10:36:49,42.0,159.73250993,38.02779599
LE07_198031_20151030,2015-10-30 10:37:04,13.0,162.223081,32.72840794
LE07_198031_20151115,2015-11-15 10:37:21,25.0,163.31510051,28.10895012
