mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LE07_026046_20190105,2019-01-05 16:54:41,21.0,147.49546975,39.99107754
LE07_026046_20190121,2019-01-21 16:54:11,0.0,143.83811038,41.39663788
LE07_026046_20190206,2019-02-06 16:53:41,2.0,139.4096985,44.32738242
LE07_026046_20190222,2019-02-22 16:53:12,11.0,134.24197289,48.42859629
LE07_026046_20190310,2019-03-10 16:52:42,2.0,128.11094259,53.18291165
LE07_026046_20190326,2019-03-26 16:52:10,14.0,120.59206652,57.96197821
LE07_026046_20190411,2019-04-11 16:51:37,0.0,111.28266622,62.06268564
LE07_026046_20190427,2019-04-27 16:51:01,16.0,100.53365336,64.87106509
LE07_026046_20190513,2019-05-13 16:50:24,10.0,89.98602156,66.08371468
LE07_026046_20190529,2019-05-29 16:49:48,28.0,82.01349388,65.97159504
LE07_026046_20190614,2019-06-14 16:49:14,32.0,78.10501437,65.15942933
LE07_026046_20190630,2019-06-30 16:48:38,10.0,78.43186226,64.24044767
LE07_026046_20190716,2019-07-16 16:48:01,21.0,82.55888326,63.51155294
LE07_026046_20190801,2019-08-01 16:47:23,1.0,89.94120066,62.94372533
LE07_026046_20190817,2019-08-17 16:46:43,9.0,99.87586245,62.21900851
LE07_026046_20190902,2019-09-02 16:46:02,12.0,111.28232157,60.89153407
LE07_026046_20190918,2019-09-18 16:45:19,32.0,122.68815548,58.61210285
LE07_026046_20191004,2019-10-04 16:44:39,25.0,132.61871844,55.3223288
LE07_026046_20191020,2019-10-20 16:43:59,24.0,140.17163454,51.30861556
LE07_026046_20191105,2019-11-05 16:43:16,39.0,145.07651725,47.04783119
LE07_026046_20191121,2019-11-21 16:42:32,14.0,147.50678467,43.12713088
LE07_026046_20191207,2019-12-07 16:41:45,3.0,147.76539387,40.07731573
LE07_026046_20191223,2019-12-23 16:40:56,7.0,146.26897737,38.33687837
LE07_026046_20200108,2020-01-08 16:40:06,9.0,143.40112702,38.1654091
LE07_026046_20200124,2020-01-24 16:39:19,70.0,139.50273483,39.61546319
LE07_026046_20200209,2020-02-09 16:38:31,0.0,134.78093696,42.50863457
LE07_026046_20200225,2020-02-25 16:37:40,0.0,129.26577366,46.4683458
LE07_026046_20200312,2020-03-12 16:36:48,2.0,122.78295147,50.95723183
LE07_026046_20200328,2020-03-28 16:35:55,0.0,115.03874149,55.33741173
LE07_026046_20200413,2020-04-13 16:35:00,0.0,105.96852469,58.9466094
LE07_026046_20200429,2020-04-29 16:34:03,0.0,96.1646935,61.24817093
LE07_026046_20200515,2020-05-15 16:33:05,7.0,87.21283438,62.09666868
LE07_026046_20200531,2020-05-31 16:32:07,22.0,80.84470887,61.77810575
LE07_026046_20200616,2020-06-16 16:31:11,3.0,78.03563085,60.87095507
LE07_026046_20200702,2020-07-02 16:30:14,14.0,78.8639998,59.87643902
LE07_026046_20200718,2020-07-18 16:29:16,18.0,82.9388713,59.05610273
LE07_026046_20200803,2020-08-03 16:28:16,34.0,89.75864682,58.37147877
LE07_026046_20200819,2020-08-19 16:27:15,38.0,98.70201135,57.56301684
LE07_026046_20200920,2020-09-20 16:25:09,67.0,119.08051326,54.09460049
LE07_026046_20201006,2020-10-06 16:24:08,3.0,128.15171286,51.04966918
LE07_026046_20201022,2020-10-22 16:23:05,0.0,135.20312505,47.30584649
LE07_026046_20201107,2020-11-07 16:22:01,6.0,139.88696295,43.32204796
LE07_026046_20201123,2020-11-23 16:20:54,11.0,142.20774215,39.61308162
LE07_026046_20201209,2020-12-09 16:19:43,1.0,142.40407436,36.71826398
LE07_026046_20201225,2020-12-25 16:18:31,55.0,140.80643387,35.05746749
LE07_026046_20210110,2021-01-10 16:17:25,11.0,137.79516889,34.89644146
LE07_026046_20210126,2021-01-26 16:16:16,0.0,133.68378084,36.26964514
LE07_026046_20210211,2021-02-11 16:15:06,21.0,128.70888007,38.99183525
LE07_026046_20210227,2021-02-27 16:13:52,9.0,122.93213924,42.67228063
LE07_026046_20210315,2021-03-15 16:12:37,3.0,116.28104937,46.76854335
LE07_026046_20210331,2021-03-31 16:11:19,37.0,108.67060249,50.6563111
LE07_026046_20210416,2021-04-16 16:10:00,2.0,100.26749741,53.72896487
LE07_026046_20210502,2021-05-02 16:08:38,7.0,91.80515563,55.57424168
LE07_026046_20210518,2021-05-18 16:07:18,1.0,84.51530652,56.10676114
LE07_026046_20210705,2021-07-05 16:03:18,16.0,78.83405494,53.54807072
LE07_026046_20210721,2021-07-21 16:01:56,28.0,82.66905124,52.59697228
LE07_026046_20210806,2021-08-06 16:00:31,26.0,88.78143181,51.78314483
LE07_026046_20210822,2021-08-22 15:59:07,59.0,96.62056401,50.89734462
LE07_026046_20210907,2021-09-07 15:57:44,70.0,105.48295783,49.61812411
LE07_026046_20210923,2021-09-23 15:56:18,81.0,114.44748988,47.66108383
LE07_026046_20211009,2021-10-09 15:54:53,12.0,122.57476125,44.91545453
LE07_026046_20211025,2021-10-25 15:53:27,86.0,129.08416866,41.53132156
LE07_026046_20211110,2021-11-10 15:51:56,6.0,133.51314447,37.85593922
LE07_026046_20211126,2021-11-26 15:50:23,79.0,135.75785178,34.38875949
LE07_026046_20211212,2021-12-12 15:48:53,55.0,135.92470674,31.61798117
LE07_026046_20211228,2021-12-28 15:47:19,4.0,134.28926603,29.98030827
LE07_026046_20220113,2022-01-13 15:45:46,26.0,131.17792881,29.72878116
LE07_026046_20220129,2022-01-29 15:44:13,57.0,126.93185968,30.91724403
LE07_026046_20220214,2022-02-14 15:42:34,29.0,121.80036348,33.35502907
LE07_026046_20220302,2022-03-02 15:41:02,6.0,115.93370339,36.65745977
LE07_026046_20220318,2022-03-18 15:39:26,0.0,109.3749516,40.29555385
LE07_026046_20220403,2022-04-03 15:37:54,22.0,102.21126037,43.67291973
LE07_026046_20220609,2022-06-09 15:31:27,41.0,77.6829749,47.43917921
LE07_026046_20220626,2022-06-26 15:30:25,45.0,76.97310202,46.28588155
LE07_026046_20220713,2022-07-13 15:29:15,24.0,79.05854081,45.0819883
LE07_026046_20220730,2022-07-30 15:27:54,20.0,83.59653148,44.02941182
LE07_026046_20220816,2022-08-16 15:26:27,92.0,90.09931871,43.09317459
LE07_026046_20220902,2022-09-02 15:24:52,43.0,97.95730267,42.00943259
LE07_026046_20221023,2022-10-23 15:19:08,10.0,121.40597179,35.20362703
LE07_026046_20221109,2022-11-09 15:16:51,13.0,126.41459751,31.72642159
LE07_026047_20190105,2019-01-05 16:55:05,0.0,146.59101713,41.08317672
LE07_026047_20190121,2019-01-21 16:54:35,0.0,142.83126948,42.42401483
LE07_026047_20190206,2019-02-06 16:54:05,0.0,138.22655535,45.26985442
LE07_026047_20190222,2019-02-22 16:53:36,10.0,132.79667846,49.26447866
LE07_026047_20190310,2019-03-10 16:53:06,1.0,126.30102277,53.88246368
LE07_026047_20190326,2019-03-26 16:52:34,0.0,118.31417104,58.48242309
LE07_026047_20190411,2019-04-11 16:52:00,0.0,108.49038895,62.34941451
LE07_026047_20190427,2019-04-27 16:51:25,4.0,97.34533046,64.88088745
LE07_026047_20190513,2019-05-13 16:50:48,2.0,86.69016903,65.82479176
LE07_026047_20190529,2019-05-29 16:50:12,48.0,78.85896203,65.51770503
LE07_026047_20190614,2019-06-14 16:49:38,53.0,75.14054333,64.61438852
LE07_026047_20190630,2019-06-30 16:49:02,31.0,75.57559194,63.7041535
LE07_026047_20190716,2019-07-16 16:48:25,14.0,79.71447881,63.07451284
LE07_026047_20190801,2019-08-01 16:47:46,5.0,87.06559663,62.68490682
LE07_026047_20190817,2019-08-17 16:47:07,31.0,97.0298633,62.2164429
LE07_026047_20190902,2019-09-02 16:46:26,11.0,108.62192874,61.1801173
LE07_026047_20190918,2019-09-18 16:45:43,53.0,120.38502382,59.18205665
LE07_026047_20191004,2019-10-04 16:45:03,25.0,130.7495735,56.12002474
LE07_026047_20191020,2019-10-20 16:44:22,49.0,138.68907351,52.26098247
LE07_026047_20191105,2019-11-05 16:43:40,9.0,143.88949113,48.09624993
LE07_026047_20191121,2019-11-21 16:42:56,22.0,146.50629881,44.21958529
LE07_026047_20191207,2019-12-07 16:42:09,0.0,146.86374126,41.17472647
LE07_026047_20191223,2019-12-23 16:41:20,2.0,145.39410584,39.40886093
LE07_026047_20200108,2020-01-08 16:40:30,0.0,142.49048784,39.18643536
LE07_026047_20200124,2020-01-24 16:39:43,51.0,138.4916051,40.56244642
