fid,row_index,col_index,mission_id,Blue,Green,Red,NIR,LST_K
0,51,38,LT05_013032_20060130,0.07654,0.07029750000000001,0.08567000000000002,0.08476250000000002,289.26528673999996
1,52,36,LT05_013032_20060130,0.11831249999999999,0.139295,0.1336025,0.1462525,290.15397194
2,52,37,LT05_013032_20060130,0.133355,0.1545025,0.1514775,0.1530725,289.26528673999996
3,52,38,LT05_013032_20060130,0.10318749999999999,0.10874250000000002,0.127635,0.13943250000000001,288.68764136
5,53,36,LT05_013032_20060130,0.10318749999999999,0.12403249999999999,0.109705,0.11897249999999998,289.0020992
6,53,37,LT05_013032_20060130,0.11454500000000001,0.10874250000000002,0.109705,0.11212499999999997,288.68764136
7,53,38,LT05_013032_20060130,0.0841575,0.07802500000000001,0.07964749999999998,0.08476250000000002,288.68764136
10,54,36,LT05_013032_20060130,0.06504500000000002,0.07029750000000001,0.055530000000000024,0.0504425,286.29502736
11,54,37,LT05_013032_20060130,0.06886750000000003,0.054869999999999974,0.049479999999999996,0.04356750000000001,285.7208
12,54,38,LT05_013032_20060130,0.061167499999999986,0.06257000000000001,0.061580000000000024,0.0504425,287.86389854000004
14,55,36,LT05_013032_20060130,0.053495000000000015,0.047142500000000004,0.04345750000000001,0.029817499999999997,285.7208
15,55,37,LT05_013032_20060130,0.07271749999999999,0.07802500000000001,0.06763000000000002,0.0778875,287.86389854000004
16,55,38,LT05_013032_20060130,0.10318749999999999,0.12403249999999999,0.1336025,0.13943250000000001,287.86389854000004
18,56,37,LT05_013032_20060130,0.07271749999999999,0.07802500000000001,0.073625,0.08476250000000002,287.86389854000004
19,56,38,LT05_013032_20060130,0.049644999999999995,0.047142500000000004,0.055530000000000024,0.05731750000000002,287.86389854000004
22,57,38,LT05_013032_20060130,0.045795,0.047142500000000004,0.03133,0.029817499999999997,285.7208
24,58,38,LT05_013032_20060130,0.045795,0.031604999999999994,0.03133,0.03669249999999999,287.86389854000004
14,55,36,LT05_013032_20060215,0.1453175,0.139845,0.1133075,0.10646,275.87348438
22,57,38,LT05_013032_20060215,0.12221749999999998,0.11625000000000002,0.11803750000000002,0.10101500000000002,276.43745767999997
0,51,38,LT05_013032_20060420,0.09119749999999999,0.10945749999999999,0.1166625,0.13451000000000002,310.38865034
1,52,36,LT05_013032_20060420,0.1531,0.1847525,0.1959725,0.2000425,313.12648436
2,52,37,LT05_013032_20060420,0.15692250000000002,0.1926175,0.20545999999999998,0.210905,311.70800606
3,52,38,LT05_013032_20060420,0.11649749999999998,0.14133,0.145345,0.1673175,310.82957492
5,53,36,LT05_013032_20060420,0.16836250000000003,0.2082925,0.20856750000000002,0.21450750000000002,313.12648436
6,53,37,LT05_013032_20060420,0.1377275,0.15716999999999998,0.17070000000000002,0.1745775,312.1420946
7,53,38,LT05_013032_20060420,0.108715,0.13338250000000001,0.138965,0.14182499999999998,310.82957492
10,54,36,LT05_013032_20060420,0.1377275,0.15321,0.16121249999999998,0.16368749999999999,312.1079144
11,54,37,LT05_013032_20060420,0.1203475,0.13734249999999998,0.14215499999999998,0.14548250000000001,311.8515629
12,54,38,LT05_013032_20060420,0.1222725,0.14925,0.15486,0.16003,310.53904322
14,55,36,LT05_013032_20060420,0.11262,0.13338250000000001,0.13577499999999998,0.1381675,311.6806619
15,55,37,LT05_013032_20060420,0.13002750000000002,0.15321,0.164375,0.17094749999999997,311.41405634
16,55,38,LT05_013032_20060420,0.1261775,0.15321,0.1675375,0.17823499999999998,310.53904322
18,56,37,LT05_013032_20060420,0.097055,0.12144749999999999,0.12625999999999998,0.13088,310.97654978
19,56,38,LT05_013032_20060420,0.08927249999999998,0.10148249999999998,0.11347249999999998,0.1199075,310.53904322
22,57,38,LT05_013032_20060420,0.08536749999999999,0.097495,0.10709249999999998,0.1199075,310.09811864
24,58,38,LT05_013032_20060420,0.08536749999999999,0.10148249999999998,0.10709249999999998,0.11627749999999998,310.09811864
0,51,38,LT05_013032_20060522,0.1058,0.1342625,0.1437775,0.16368749999999999,303.19371824
1,52,36,LT05_013032_20060522,0.16564,0.19074750000000001,0.20975,0.2223175,305.4598655
2,52,37,LT05_013032_20060522,0.17284500000000003,0.20942,0.2216575,0.23263,305.24794826
3,52,38,LT05_013032_20060522,0.1313475,0.1719925,0.17686000000000002,0.1982275,304.22596028
5,53,36,LT05_013032_20060522,0.19247999999999998,0.22427000000000002,0.23356500000000002,0.24635250000000003,305.4598655
6,53,37,LT05_013032_20060522,0.1584625,0.18324000000000001,0.2067525,0.21541500000000002,305.24794826
7,53,38,LT05_013032_20060522,0.1386075,0.1795,0.17983,0.20512999999999998,304.22596028
10,54,36,LT05_013032_20060522,0.17103000000000002,0.19446000000000002,0.20975,0.20512999999999998,304.01062502
11,54,37,LT05_013032_20060522,0.13497750000000003,0.15694999999999998,0.1648425,0.16368749999999999,304.46522168
12,54,38,LT05_013032_20060522,0.14405250000000003,0.1795,0.17983,0.1982275,303.95251868
14,55,36,LT05_013032_20060522,0.1548875,0.19446000000000002,0.19781500000000002,0.21197749999999999,302.4861881
15,55,37,LT05_013032_20060522,0.17103000000000002,0.1982275,0.2157175,0.21888000000000002,303.43981568000004
16,55,38,LT05_013032_20060522,0.14947,0.17576000000000003,0.18582500000000002,0.20856750000000002,303.43981568000004
18,56,37,LT05_013032_20060522,0.1313475,0.15694999999999998,0.15882000000000002,0.17754750000000002,302.92369466
19,56,38,LT05_013032_20060522,0.11130000000000001,0.12669999999999998,0.1437775,0.1602225,303.43981568000004
22,57,38,LT05_013032_20060522,0.08745750000000002,0.103875,0.11053000000000002,0.14292500000000002,303.95251868
24,58,38,LT05_013032_20060522,0.09114250000000002,0.1076975,0.11053000000000002,0.14988249999999997,304.97450666
0,51,38,LT05_013032_20060725,0.13797500000000001,0.15785749999999998,0.14988249999999997,0.17152499999999998,298.24100726
1,52,36,LT05_013032_20060725,0.18898750000000003,0.21305000000000002,0.2148925,0.24692999999999998,299.50567465999995
2,52,37,LT05_013032_20060725,0.1844225,0.2175875,0.22207,0.24692999999999998,299.00322572
3,52,38,LT05_013032_20060725,0.1566475,0.1718,0.17529250000000002,0.20097749999999998,298.24100726
5,53,36,LT05_013032_20060725,0.19127,0.21305000000000002,0.218495,0.24275000000000002,300.25763906
6,53,37,LT05_013032_20060725,0.1774925,0.19938250000000002,0.19696249999999998,0.217725,299.76202616
7,53,38,LT05_013032_20060725,0.16129500000000002,0.1763925,0.182525,0.19677,299.00322572
10,54,36,LT05_013032_20060725,0.168225,0.18560500000000002,0.18615500000000001,0.205185,298.69560392
11,54,37,LT05_013032_20060725,0.15431,0.16715249999999998,0.16443000000000002,0.17994,299.52618278
12,54,38,LT05_013032_20060725,0.16129500000000002,0.1763925,0.17529250000000002,0.19258999999999998,298.77080036
14,55,36,LT05_013032_20060725,0.1705625,0.19019750000000002,0.18615500000000001,0.2093375,298.69560392
15,55,37,LT05_013032_20060725,0.168225,0.18560500000000002,0.182525,0.2093375,298.77080036
16,55,38,LT05_013032_20060725,0.15661999999999998,0.1718,0.17169,0.1883825,298.00858189999997
18,56,37,LT05_013032_20060725,0.151945,0.16253250000000002,0.16077249999999998,0.17576000000000003,298.77080036
19,56,38,LT05_013032_20060725,0.15661999999999998,0.16715249999999998,0.16443000000000002,0.18414750000000002,298.00858189999997
22,57,38,LT05_013032_20060725,0.140285,0.1486175,0.14988249999999997,0.18414750000000002,298.00858189999997
24,58,38,LT05_013032_20060725,0.14963500000000002,0.15323750000000003,0.1425675,0.18414750000000002,297.24294541999996
0,51,38,LT05_013032_20060810,0.13263999999999998,0.145565,0.14047749999999998,0.1389375,310.5527153
1,52,36,LT05_013032_20060810,0.17320249999999998,0.175595,0.17171750000000002,0.15703250000000002,311.57470328
2,52,37,LT05_013032_20060810,0.1681975,0.175595,0.163935,0.1660525,311.20897514
3,52,38,LT05_013032_20060810,0.14034000000000002,0.145565,0.14440999999999998,0.14347500000000002,310.5527153
6,53,37,LT05_013032_20060810,0.15557500000000002,0.16564,0.14831499999999997,0.13440000000000002,311.20897514
7,53,38,LT05_013032_20060810,0.14284249999999998,0.140505,0.13261250000000002,0.1162225,310.5527153
11,54,37,LT05_013032_20060810,0.14034000000000002,0.140505,0.12870749999999997,0.11163000000000001,307.96869218
12,54,38,LT05_013032_20060810,0.13522499999999998,0.13038499999999997,0.120815,0.10706500000000002,307.3226864
16,55,38,LT05_013032_20060810,0.14539999999999997,0.15056999999999998,0.14440999999999998,0.1389375,310.29294577999997
0,51,38,LT05_013032_20060911,0.09293000000000001,0.11685499999999999,0.121805,0.13126500000000002,305.12148152
1,52,36,LT05_013032_20060911,0.1650625,0.20972249999999998,0.2103,0.23480250000000003,306.85441765999997
2,52,37,LT05_013032_20060911,0.17364249999999998,0.21409499999999998,0.21733999999999998,0.23480250000000003,305.63418451999996
3,52,38,LT05_013032_20060911,0.11058499999999999,0.1391575,0.14674749999999998,0.1728175,304.61219654
