mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LE07_022031_20130108,2013-01-08 16:25:04,99.0,157.64180682,22.8573331
LE07_022031_20130124,2013-01-24 16:25:06,92.0,155.27224697,25.4038266
LE07_022031_20130209,2013-02-09 16:25:07,51.0,153.00333563,29.54725784
LE07_022031_20130225,2013-02-25 16:25:03,4.0,150.95378008,34.89366886
LE07_022031_20130313,2013-03-13 16:25:02,79.0,149.05346454,40.95455408
LE07_022031_20130329,2013-03-29 16:24:57,8.0,147.08539083,47.20288404
LE07_022031_20130414,2013-04-14 16:24:54,70.0,144.67084032,53.11072479
LE07_022031_20130430,2013-04-30 16:24:49,65.0,141.46058695,58.17914597
LE07_022031_20130601,2013-06-01 16:24:39,79.0,133.12566953,64.13710073
LE07_022031_20130617,2013-06-17 16:24:33,11.0,129.98827918,64.68356502
LE07_022031_20130703,2013-07-03 16:24:24,78.0,129.27791931,63.81257862
LE07_022031_20130719,2013-07-19 16:24:16,3.0,131.33418272,61.78309464
LE07_022031_20130804,2013-08-04 16:24:10,14.0,135.61587267,58.8005102
LE07_022031_20130820,2013-08-20 16:24:15,27.0,141.3076912,55.02628904
LE07_022031_20130905,2013-09-05 16:24:27,16.0,147.23315672,50.4820765
LE07_022031_20130921,2013-09-21 16:24:37,28.0,152.65252404,45.34821139
LE07_022031_20131007,2013-10-07 16:24:49,70.0,157.04830323,39.88682379
LE07_022031_20131023,2013-10-23 16:24:58,52.0,160.14509547,34.47604886
LE07_022031_20131108,2013-11-08 16:25:04,7.0,161.82919785,29.54769338
LE07_022031_20131124,2013-11-24 16:25:09,40.0,162.1521658,25.57816192
LE07_022031_20131210,2013-12-10 16:25:16,54.0,161.28483915,23.00360899
LE07_022031_20131226,2013-12-26 16:25:19,61.0,159.54741928,22.15617908
LE07_022031_20140127,2014-01-27 16:25:43,93.0,154.94991203,26.03636108
LE07_022031_20140228,2014-02-28 16:25:38,66.0,150.80979415,35.96432335
LE07_022031_20140316,2014-03-16 16:25:47,49.0,148.99261133,42.1168213
LE07_022031_20140401,2014-04-01 16:25:53,58.0,147.05538321,48.36715865
LE07_022031_20140417,2014-04-17 16:26:01,6.0,144.63336591,54.19244773
LE07_022031_20140503,2014-05-03 16:26:08,14.0,141.37285978,59.09664812
LE07_022031_20140519,2014-05-19 16:26:16,21.0,137.30986574,62.64888473
LE07_022031_20140706,2014-07-06 16:26:26,36.0,130.28323437,63.83743162
LE07_022031_20140722,2014-07-22 16:26:29,14.0,132.84062052,61.65001213
LE07_022031_20140807,2014-08-07 16:26:34,55.0,137.45697954,58.51010594
LE07_022031_20140823,2014-08-23 16:26:32,100.0,143.14239751,54.53050876
