fid,row_index,col_index,mission_id,Blue,Green,Red,NIR,LST_K
2,14,0,LT05_012030_20000412,0.16498000000000002,0.15972750000000002,0.15727999999999998,0.14842499999999997,284.96199956
3,14,1,LT05_012030_20000412,0.1899225,0.17999500000000002,0.18013250000000003,0.17105750000000003,285.52597286
4,15,0,LT05_012030_20000412,0.2223175,0.22033750000000002,0.22237250000000003,0.22383000000000003,284.96199956
5,15,1,LT05_012030_20000412,0.21475500000000003,0.21228000000000002,0.21263749999999998,0.21632250000000003,284.96199956
6,16,0,LT05_012030_20000412,0.24880000000000002,0.248415,0.254795,0.25771,284.39802626
7,16,1,LT05_012030_20000412,0.2261125,0.2323825,0.23862500000000003,0.231365,284.39802626
8,16,2,LT05_012030_20000412,0.21475500000000003,0.20422250000000003,0.20614749999999998,0.20501999999999998,284.31257575999996
10,17,1,LT05_012030_20000412,0.21093250000000002,0.21632250000000003,0.20614749999999998,0.2200625,283.83063494
11,17,2,LT05_012030_20000412,0.20331500000000002,0.20018000000000002,0.18013250000000003,0.1974575,283.74518444
12,18,1,LT05_012030_20000412,0.22806500000000002,0.24044,0.23213499999999998,0.23892750000000001,283.26324362
13,18,2,LT05_012030_20000412,0.21095999999999998,0.20826499999999998,0.212665,0.2125825,283.1743751
14,18,3,LT05_012030_20000412,0.21475500000000003,0.22033750000000002,0.21588249999999998,0.22383000000000003,283.1743751
15,19,1,LT05_012030_20000412,0.27324750000000003,0.2844125,0.277455,0.302865,282.68901626
16,19,2,LT05_012030_20000412,0.2544925,0.2724225,0.2613125,0.284055,282.68901626
17,19,3,LT05_012030_20000412,0.2052675,0.21230749999999998,0.20293,0.20881500000000003,283.1743751
18,20,2,LT05_012030_20000412,0.22427000000000002,0.24445499999999998,0.24511500000000003,0.2539975,283.26324362
21,21,2,LT05_012030_20000412,0.19572499999999998,0.19215,0.1931675,0.20881500000000003,283.66656997999996
23,21,4,LT05_012030_20000412,0.13990000000000002,0.127195,0.11479250000000002,0.10304999999999997,285.69345583999996
25,22,3,LT05_012030_20000412,0.1611575,0.18002250000000003,0.1964125,0.19748500000000002,285.13631857999997
26,22,4,LT05_012030_20000412,0.157335,0.1516425,0.14751750000000002,0.12956,286.80089432
27,22,5,LT05_012030_20000412,0.15345750000000002,0.1475725,0.1409725,0.12576500000000002,287.89807873999996
28,23,3,LT05_012030_20000412,0.16696,0.16379749999999998,0.17037000000000002,0.18995,286.2505931
29,23,4,LT05_012030_20000412,0.17463250000000002,0.16789500000000002,0.17037000000000002,0.1673175,287.35119554
1,13,0,LT05_012030_20011125,0.028002499999999986,0.028112499999999985,0.028992500000000004,0.03438250000000001,285.78232435999996
2,14,0,LT05_012030_20011125,0.032484999999999986,0.037105,0.03595000000000001,0.03438250000000001,285.78232435999996
3,14,1,LT05_012030_20011125,0.028002499999999986,0.037105,0.03595000000000001,0.04241249999999999,286.40098598
4,15,0,LT05_012030_20011125,0.036967499999999986,0.037105,0.03595000000000001,0.04241249999999999,286.40098598
5,15,1,LT05_012030_20011125,0.036967499999999986,0.046152499999999985,0.03595000000000001,0.050387499999999974,286.40098598
6,16,0,LT05_012030_20011125,0.0504425,0.055145,0.0568225,0.06639250000000002,288.49281422
7,16,1,LT05_012030_20011125,0.0414775,0.05517250000000001,0.04986499999999999,0.05839,288.49281422
8,16,2,LT05_012030_20011125,0.0414775,0.05517250000000001,0.0568225,0.050387499999999974,289.02602534
10,17,1,LT05_012030_20011125,0.041504999999999986,0.046152499999999985,0.04986499999999999,0.04241249999999999,289.11147584
11,17,2,LT05_012030_20011125,0.036995,0.046152499999999985,0.04986499999999999,0.05839,289.02602534
12,18,1,LT05_012030_20011125,0.06831749999999998,0.06411,0.07071,0.08234249999999999,289.11489386
13,18,2,LT05_012030_20011125,0.08602749999999998,0.09991499999999998,0.11908249999999998,0.12216250000000001,289.02602534
14,18,3,LT05_012030_20011125,0.06383499999999998,0.08201249999999999,0.08454250000000002,0.08234249999999999,289.02602534
15,19,1,LT05_012030_20011125,0.07717249999999998,0.09097749999999999,0.091445,0.14597749999999998,288.49281422
16,19,2,LT05_012030_20011125,0.1256275,0.144245,0.1534025,0.17765750000000002,288.49281422
17,19,3,LT05_012030_20011125,0.11251,0.16184500000000002,0.16712500000000002,0.16184500000000002,288.40736372000003
18,20,2,LT05_012030_20011125,0.09048250000000002,0.09991499999999998,0.09837499999999999,0.09826499999999999,287.87073458
19,20,3,LT05_012030_20011125,0.09931000000000001,0.09991499999999998,0.10527750000000002,0.1141875,287.78528408
20,20,4,LT05_012030_20011125,0.06386249999999999,0.07310250000000001,0.08454250000000002,0.08237,288.40736372000003
21,21,2,LT05_012030_20011125,0.05500749999999999,0.07315749999999999,0.07073750000000001,0.06641999999999998,286.45225628000003
22,21,3,LT05_012030_20011125,0.06840000000000002,0.07315749999999999,0.07073750000000001,0.07439499999999999,286.86925471999996
23,21,4,LT05_012030_20011125,0.028085,0.037215,0.035977499999999996,0.03443750000000001,287.49475238
25,22,3,LT05_012030_20011125,0.072855,0.07315749999999999,0.07076500000000002,0.08239750000000001,286.24033904
26,22,4,LT05_012030_20011125,0.050580000000000014,0.055227499999999985,0.04991999999999999,0.05841750000000001,286.86925471999996
27,22,5,LT05_012030_20011125,0.04607,0.046207499999999985,0.04296249999999999,0.0504425,287.49475238
28,23,3,LT05_012030_20011125,0.04607,0.055227499999999985,0.04991999999999999,0.0504425,286.24033904
29,23,4,LT05_012030_20011125,0.06842749999999997,0.08212249999999999,0.09152749999999998,0.09834749999999998,286.86925471999996
30,23,5,LT05_012030_20011125,0.0861925,0.09994249999999999,0.11911,0.13016499999999998,287.49475238
32,24,4,LT05_012030_20011125,0.04607,0.055227499999999985,0.056877500000000025,0.06644749999999999,287.49475238
33,24,5,LT05_012030_20011125,0.06394499999999997,0.07315749999999999,0.07076500000000002,0.09034500000000001,288.11341400000003
34,24,6,LT05_012030_20011125,0.072855,0.08212249999999999,0.07769500000000001,0.08239750000000001,288.11341400000003
35,25,5,LT05_012030_20011125,0.041614999999999985,0.055227499999999985,0.06383499999999998,0.06644749999999999,288.44837996
36,25,6,LT05_012030_20011125,0.046097499999999986,0.055227499999999985,0.056877500000000025,0.0504425,287.82630032
37,25,7,LT05_012030_20011125,0.055035,0.06422,0.056877500000000025,0.0504425,288.44837996
38,26,6,LT05_012030_20011125,0.046097499999999986,0.055227499999999985,0.056877500000000025,0.0504425,287.82630032
39,26,7,LT05_012030_20011125,0.050580000000000014,0.06422,0.06383499999999998,0.058445000000000025,288.44837996
40,27,7,LT05_012030_20011125,0.046097499999999986,0.06424750000000001,0.056877500000000025,0.058445000000000025,287.82630032
