fid,row_index,col_index,distance,x,y
0,0,6,347.3392088044945,12.54005350954154,55.69876566025229
1,0,7,336.81855585904844,12.540529909344833,55.698751909579144
2,0,8,328.7080059399492,12.54100630873562,55.6987381570602
3,0,9,323.1132287764495,12.541482707713847,55.698724402695476
4,0,10,318.3212391563054,12.541959106279457,55.69871064648496
5,0,11,315.26981775148823,12.5424355044324,55.698696888428685
6,0,12,315.0582559973749,12.542911902172616,55.698683128526625
7,0,13,317.6922274138262,12.543388299500053,55.6986693667788
8,0,14,323.10214800618246,12.543864696414655,55.698655603185195
9,0,15,331.1519964204653,12.544341092916369,55.69864183774584
10,0,16,341.65522302507054,12.544817489005137,55.69862807046071
11,1,4,349.4815226614689,12.539125048997423,55.69906220324309
12,1,5,333.675813147764,12.539601452885334,55.69904845612366
13,1,6,319.9089899922543,12.540077856360844,55.69903470715844
14,1,7,308.4541707870182,12.540554259423892,55.69902095634738
15,1,8,299.57668312795926,12.541030662074425,55.699007203690535
16,1,9,293.50235307677923,12.541507064312388,55.69899344918788
17,1,10,288.6861263069232,12.541983466137726,55.69897969283943
18,1,11,285.3193211369118,12.542459867550383,55.69896593464518
19,1,12,285.0855340087936,12.54293626855031,55.69895217460513
20,1,13,287.99376449522276,12.543412669137446,55.6989384127193
21,1,14,293.9507698155946,12.543889069311737,55.698924648987685
22,1,15,302.77665326479763,12.544365469073128,55.69891088341028
23,1,16,314.22977015121006,12.544841868421567,55.698897115987094
24,1,17,328.0350516885857,12.545318267356997,55.69888334671814
25,1,18,343.90935117176434,12.545794665879363,55.6988695756034
26,2,3,343.84932308886124,12.538672982149432,55.69934499581746
27,2,4,325.0147236460386,12.539149389709536,55.699331250406026
28,2,5,307.9558153124463,12.539625796857276,55.69931750314874
29,2,6,292.9829308727665,12.540102203592605,55.69930375404563
30,2,7,280.4304038096422,12.540578609915464,55.6992900030967
31,2,8,270.63522494102966,12.5410550158258,55.69927625030194
32,2,9,263.9046012803196,12.541531421323553,55.69926249566135
33,2,10,259.075250607253,12.542007826408673,55.69924873917495
34,2,11,255.38044569426182,12.542484231081106,55.69923498084273
35,2,12,255.11922454031296,12.542960635340792,55.6992212206647
36,2,13,258.36498488979004,12.543437039187681,55.69920745864086
37,2,14,264.98889052968286,12.543913442621717,55.69919369477122
